Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
26	167.0	286.94772	664.0	0.0	65.9	156.43303	525.0	0.0	1000.0	1000.0	103999	15.598842	5.3604283	34.577297	-0.5440505	15.598626	5.35582	34.62325	-1.7012838	-15.81723	0.34847054	0.34847054	1753.3870267868042
27	17.25	15.352118	39.0	0.0	18.7	48.309525	163.0	0.0	1000.0	1000.0	107999	14.841179	6.564553	38.02393	-2.108736	14.841083	6.559786	37.676483	-3.4614751	-15.032576	0.43237403	0.43237403	1834.805382013321
28	190.0	114.12493	297.0	0.0	220.4	363.2289	979.0	0.0	1000.0	1000.0	111999	14.20964	7.775842	40.20111	-4.614923	14.209163	7.7724752	39.802963	-5.357833	-14.438266	0.5344471	0.5344471	1922.3862323760986
29	312.0	396.13065	973.0	0.0	1.7	3.4655447	10.0	0.0	1000.0	1000.0	115999	13.505897	9.000502	50.01386	-23.51662	13.51167	8.987298	42.145325	-8.057775	-13.775125	0.75402856	0.75402856	2005.1193425655365
30	286.5	352.3638	889.0	0.0	218.2	380.096	981.0	0.0	1000.0	1000.0	119999	12.991199	10.471153	45.102997	-18.709417	13.0303335	10.409971	45.111244	-20.616568	-13.240756	1.0666711	1.0666711	2095.208870410919
31	238.25	412.6611	953.0	0.0	353.4	382.97653	1000.0	0.0	1000.0	1000.0	123999	12.738409	11.820952	48.799168	-13.9353895	12.763178	11.785243	48.375217	-11.021879	-13.012338	1.0328053	1.0328053	2177.3539237976074
32	529.0	379.0897	972.0	0.0	160.0	303.7423	980.0	0.0	1000.0	1000.0	127999	12.821387	13.207265	51.513515	-12.617061	12.820786	13.204932	52.183502	-14.610212	-13.118164	1.0408473	1.0408473	2257.808676958084
33	22.75	35.477985	84.0	0.0	96.7	290.09998	967.0	0.0	1000.0	1000.0	131999	12.862148	14.840135	56.076	-12.385878	12.86094	14.839944	56.977776	-13.986425	-13.146013	1.0652945	1.0652945	2339.2521748542786
34	655.5	384.36993	972.0	28.0	199.2	391.50528	993.0	0.0	1000.0	1000.0	135999	13.728141	16.458181	60.64501	-12.461705	13.727769	16.456812	60.05645	-16.670794	-14.046184	1.1851577	1.1851577	2422.4934542179108
35	314.25	395.88278	969.0	0.0	199.2	394.16794	993.0	0.0	1000.0	1000.0	139999	14.567782	18.182407	66.2444	-15.166113	14.566964	18.18306	66.05137	-15.52811	-14.952344	1.3157313	1.3157313	2521.1351194381714
36	78.75	136.399	315.0	0.0	267.4	383.6796	979.0	0.0	1000.0	1000.0	143999	15.3495865	19.65806	69.594475	-16.204908	15.34781	19.659887	69.46691	-15.344689	-15.673129	1.2788988	1.2788988	2607.963837146759
37	64.75	65.350494	142.0	0.0	298.6	431.753	997.0	0.0	1000.0	1000.0	147999	15.863784	20.576075	71.97682	-15.274174	15.863221	20.576374	71.84643	-15.468682	-16.26824	1.3067526	1.3067526	2691.446786880493
38	723.75	418.20233	992.0	0.0	78.3	216.23555	726.0	0.0	1000.0	1000.0	151999	17.222893	22.034924	74.253235	-15.560857	17.22371	22.034138	73.84332	-14.54056	-17.61782	1.2728591	1.2728591	2792.043228626251
39	175.5	302.24536	699.0	0.0	541.7	465.32117	1000.0	0.0	1000.0	1000.0	155999	18.364405	23.283714	76.31038	-14.550686	18.364386	23.282991	76.03483	-15.216841	-18.731937	1.3182604	1.3182604	2875.339150905609
40	351.0	370.8861	935.0	0.0	594.0	394.5567	989.0	0.0	1000.0	1000.0	159999	19.784096	24.36282	77.90377	-14.189819	19.784107	24.363323	76.9857	-21.20403	-20.249176	1.380956	1.380956	2971.7311601638794
41	383.25	395.5802	993.0	0.0	251.6	316.05765	996.0	0.0	1000.0	1000.0	163999	21.48493	25.282759	79.394066	-17.337463	21.483894	25.284616	78.82334	-28.078325	-21.906164	1.397066	1.397066	3058.7399504184723
42	327.25	402.70172	991.0	0.0	334.7	437.0824	991.0	0.0	1000.0	1000.0	167999	23.146154	25.9949	80.48253	-42.979996	23.143692	25.999296	80.98554	-44.14047	-23.690737	1.4083643	1.4083643	3141.291490316391
43	0.0	0.0	0.0	0.0	586.3	478.2508	997.0	0.0	1000.0	1000.0	171999	24.083538	26.73334	82.18666	-41.67814	24.081196	26.736774	82.75704	-45.660557	-24.618008	1.3943508	1.3943508	3223.115626335144
44	917.25	44.650726	968.0	863.0	660.4	422.48035	995.0	9.0	1000.0	1000.0	175999	24.90479	27.539532	84.760635	-33.37774	24.902378	27.541767	84.44961	-36.592346	-25.472776	1.3631876	1.3631876	3305.0174498558044
45	681.75	377.8104	993.0	55.0	863.1	288.6321	997.0	0.0	1000.0	1000.0	179999	26.268915	28.25076	88.42974	-22.536335	26.267332	28.25266	88.59782	-27.492477	-26.789871	1.4157283	1.4157283	3386.7985277175903
46	705.0	388.4437	971.0	34.0	578.0	461.15768	987.0	0.0	1000.0	1000.0	183999	27.779692	28.862667	89.790245	-26.552555	27.77759	28.865107	89.593094	-26.625906	-28.275183	1.4347115	1.4347115	3468.8245668411255
47	722.5	414.1802	993.0	6.0	560.3	457.19077	997.0	0.0	1000.0	1000.0	187999	28.916744	29.715744	90.64423	-23.935547	28.914343	29.71851	90.814735	-24.325296	-29.50152	1.4530398	1.4530398	3550.89399933815
48	621.25	407.6465	987.0	0.0	823.1	302.42236	983.0	26.0	1000.0	1000.0	191999	30.552633	30.859537	91.85644	-28.141844	30.55349	30.85996	91.665855	-31.035992	-31.149765	1.5073769	1.5073769	3633.005378961563
49	923.0	64.88837	985.0	814.0	838.5	262.19202	997.0	218.0	1000.0	1000.0	195999	32.02082	31.737335	92.49776	-31.157242	32.01953	31.738976	93.98727	-34.502167	-32.689075	1.5295255	1.5295255	3714.702627182007
50	693.75	410.2611	998.0	0.0	683.4	383.80676	986.0	0.0	1000.0	1000.0	199999	33.679844	32.92911	94.88366	-32.700016	33.68001	32.92972	95.57951	-36.61839	-34.426414	1.5450461	1.5450461	3796.283506155014
51	742.5	396.59204	993.0	56.0	673.4	439.04742	976.0	0.0	1000.0	1000.0	203999	35.314125	33.931515	96.07328	-36.09732	35.3135	33.933132	96.07041	-38.775116	-35.923004	1.5719051	1.5719051	3889.84552693367
52	703.0	406.96252	965.0	0.0	779.0	318.4588	988.0	19.0	1000.0	1000.0	207999	36.34482	34.556072	97.03331	-37.96333	36.34413	34.55743	96.94598	-45.657825	-36.906406	1.5354426	1.5354426	3983.4928448200226
53	907.75	97.417595	980.0	740.0	778.8	389.69907	1000.0	0.0	1000.0	1000.0	211999	37.54317	35.285748	97.91131	-36.5466	37.54272	35.287273	98.58155	-41.266758	-38.096607	1.5232244	1.5232244	4065.1327846050262
54	871.5	166.66208	976.0	583.0	916.0	147.54388	991.0	478.0	1000.0	1000.0	215999	38.54938	35.852783	100.118286	-34.149517	38.5489	35.854652	100.2015	-38.541668	-39.098232	1.5839435	1.5839435	4146.471257448196
55	945.25	32.95736	979.0	895.0	862.0	288.00174	981.0	0.0	1000.0	1000.0	219999	39.725967	36.63446	101.47374	-35.92172	39.726715	36.6352	102.78543	-42.950253	-40.32127	1.6371541	1.6371541	4227.950594902039
56	909.25	70.84622	976.0	805.0	801.8	343.42126	990.0	0.0	1000.0	1000.0	223999	41.117134	37.15883	100.691444	-33.406162	41.116276	37.16043	101.797874	-33.152637	-41.76396	1.5960857	1.5960857	4309.526273965836
57	910.75	75.8102	964.0	781.0	961.8	13.614698	981.0	939.0	1000.0	1000.0	227999	42.79569	37.465645	102.20584	-32.519466	42.794365	37.468693	102.54432	-33.510094	-43.54757	1.6162944	1.6162944	4391.33429479599
58	977.0	13.7659	999.0	962.0	942.9	67.60096	1000.0	759.0	1000.0	1000.0	231999	44.79121	37.89593	103.677475	-32.057343	44.79034	37.898376	102.97654	-35.86474	-45.47788	1.5735043	1.5735043	4486.104729652405
59	912.75	90.94332	992.0	758.0	954.8	49.62016	1000.0	861.0	1000.0	1000.0	235999	46.650116	38.44524	102.89945	-31.488214	46.648876	38.44674	103.90602	-38.485268	-47.28228	1.5553334	1.5553334	4569.301906108856
60	969.25	21.924587	994.0	934.0	882.8	271.68576	1000.0	70.0	1000.0	1000.0	239999	48.3209	39.007557	105.26023	-27.418634	48.316753	39.01282	104.958595	-25.875385	-49.06288	1.4993223	1.4993223	4649.917843818665
61	595.75	338.3359	996.0	124.0	584.1	475.06726	997.0	0.0	1000.0	1000.0	243999	49.946186	39.553257	106.14181	-35.19225	49.942116	39.559284	106.19773	-33.810257	-50.599377	1.5898454	1.5898454	4747.071115493774
62	961.75	40.449814	998.0	894.0	969.1	18.321844	1000.0	930.0	1000.0	1000.0	247999	51.59245	40.22872	109.35903	-55.754868	51.58269	40.241695	109.39007	-55.34407	-52.23948	1.5996013	1.5996013	4829.222894668579
63	962.25	25.488968	999.0	927.0	970.0	14.628738	989.0	940.0	1000.0	1000.0	251999	53.100906	40.587288	112.58106	-65.65646	53.09518	40.59428	111.441315	-66.90896	-53.66949	1.5904626	1.5904626	4911.909186840057
64	935.75	82.15344	994.0	794.0	968.2	19.358719	995.0	928.0	1000.0	1000.0	255999	54.62344	41.048107	115.18849	-70.90919	54.62039	41.052532	114.087494	-74.29371	-55.36928	1.6194427	1.6194427	4993.833018779755
65	530.75	395.94467	985.0	81.0	694.1	432.98785	997.0	0.0	1000.0	1000.0	259999	56.57958	41.212627	116.77373	-68.4328	56.577557	41.215702	114.85238	-77.15368	-57.286663	1.5636777	1.5636777	5075.303158998489
66	962.75	13.863171	981.0	942.0	915.1	165.21832	997.0	423.0	1000.0	1000.0	263999	58.44115	41.295376	116.37731	-62.34499	58.43952	41.29874	115.50846	-67.11365	-59.13766	1.5709646	1.5709646	5156.6636345386505
67	978.0	7.17635	984.0	966.0	975.4	18.67726	995.0	936.0	1000.0	1000.0	267999	60.049606	41.31329	114.871376	-58.623203	60.04812	41.316326	114.87401	-61.579407	-60.665657	1.4730511	1.4730511	5238.407440662384
68	954.25	41.811333	986.0	883.0	912.9	197.54768	1000.0	321.0	1000.0	1000.0	271999	61.39273	40.89721	114.11864	-53.418526	61.390636	40.90034	113.51629	-54.731995	-62.012833	1.4601154	1.4601154	5329.313264369965
69	974.25	6.0156045	979.0	964.0	876.5	290.75394	994.0	6.0	1000.0	1000.0	275999	62.010914	40.712887	112.14976	-46.31282	62.009457	40.71497	111.92208	-48.13962	-62.674297	1.3618855	1.3618855	5410.851467132568
70	958.0	37.835167	991.0	894.0	878.0	292.80814	990.0	0.0	1000.0	1000.0	279999	62.580227	40.62749	112.843	-35.724583	62.579876	40.62793	110.7503	-36.2431	-63.060555	1.322206	1.322206	5492.393234014511
71	838.75	176.50691	987.0	546.0	678.5	443.61746	988.0	0.0	1000.0	1000.0	283999	63.3165	40.58749	110.438866	-29.674734	63.31619	40.58803	110.72499	-27.204536	-63.910007	1.2796296	1.2796296	5574.055160045624
72	974.5	12.757351	990.0	960.0	883.5	293.3913	1000.0	4.0	1000.0	1000.0	287999	63.93922	40.453167	110.555695	-26.681284	63.93859	40.454704	109.924644	-26.384089	-64.51963	1.2359256	1.2359256	5655.087600708008
73	959.5	34.01838	989.0	902.0	767.9	382.09015	998.0	0.0	1000.0	1000.0	291999	64.4238	40.39948	110.19307	-25.410027	64.422935	40.401253	110.13693	-25.092348	-64.92117	1.269721	1.269721	5735.455482721329
74	968.0	18.986837	989.0	944.0	970.3	20.268448	993.0	925.0	1000.0	1000.0	295999	64.76811	40.324554	110.08469	-22.31769	64.76876	40.324455	110.38907	-23.5429	-65.21082	1.2832392	1.2832392	5816.469203472137
