Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
34	412.0	419.21176	972.0	0.0	339.4	418.40582	987.0	0.0	1000.0	1000.0	135999	47.243816	25.76167	123.17343	-5.1346717	-47.73095	0.9062064	2369.6977701187134
35	592.75	375.7242	1000.0	64.0	139.1	305.10965	994.0	0.0	1000.0	1000.0	139999	51.020367	28.94985	129.94894	-4.1260133	-51.55571	0.9430953	2447.0607237815857
36	336.25	392.4184	965.0	0.0	448.7	450.16754	982.0	0.0	1000.0	1000.0	143999	54.53396	31.604809	136.59422	-2.36059	-55.074314	0.9601825	2524.3516657352448
37	307.25	289.04617	662.0	0.0	628.6	418.816	1000.0	0.0	1000.0	1000.0	147999	57.578804	33.63447	139.66159	-3.5063238	-58.125866	1.031007	2602.130495786667
38	866.75	98.88472	981.0	747.0	553.6	445.20248	975.0	0.0	1000.0	1000.0	151999	61.089417	35.941208	140.66986	-3.7207193	-61.683243	1.0678757	2679.4559285640717
39	420.0	420.71188	943.0	0.0	546.2	452.70538	998.0	0.0	1000.0	1000.0	155999	64.792	37.79934	144.91016	-6.1133327	-65.423836	1.1285207	2756.9106664657593
40	419.5	402.57327	868.0	2.0	589.4	477.62332	989.0	0.0	1000.0	1000.0	159999	68.78236	39.207756	147.62204	-12.240329	-69.41971	1.1204515	2834.347579240799
41	640.75	282.11823	949.0	248.0	253.6	397.16577	995.0	0.0	1000.0	1000.0	163999	71.1284	40.61169	152.2341	-15.565828	-71.6966	1.074352	2912.019173145294
42	534.25	454.34973	991.0	3.0	488.7	423.7641	982.0	0.0	1000.0	1000.0	167999	73.26651	42.11236	152.67216	-13.912242	-73.88584	1.107591	2989.8047449588776
43	665.25	387.9313	958.0	0.0	791.3	343.566	984.0	13.0	1000.0	1000.0	171999	75.50413	42.828316	153.35513	-13.603038	-76.119576	1.0539228	3067.6923434734344
44	709.25	315.7621	986.0	192.0	712.6	363.64053	995.0	0.0	1000.0	1000.0	175999	78.396545	43.715893	155.16127	-11.944035	-79.05533	1.061096	3145.8855714797974
45	376.25	345.8579	914.0	3.0	288.8	432.7613	988.0	0.0	1000.0	1000.0	179999	81.16728	44.76421	155.24219	-4.8488026	-81.87366	1.0429771	3223.9067335128784
46	962.5	7.826238	973.0	954.0	576.1	457.49173	980.0	0.0	1000.0	1000.0	183999	84.04651	44.43035	156.39328	-3.6821978	-84.73426	1.0918046	3302.0527062416077
47	710.5	290.73572	994.0	225.0	786.3	310.9608	998.0	32.0	1000.0	1000.0	187999	86.45081	43.92725	155.79546	-3.6882052	-87.143	1.0759382	3380.0067172050476
48	532.75	447.62616	981.0	11.0	633.3	437.0275	986.0	0.0	1000.0	1000.0	191999	86.93307	44.868137	157.46132	-3.234765	-87.55349	1.0312747	3457.7539880275726
49	610.75	368.3323	974.0	0.0	733.3	376.82437	976.0	0.0	1000.0	1000.0	195999	88.21736	45.13573	158.11552	-2.7959666	-88.890144	0.9381702	3535.6693348884583
50	744.25	418.39716	998.0	20.0	295.7	422.3899	995.0	0.0	1000.0	1000.0	199999	89.99706	44.848602	156.33676	-2.062086	-90.686966	0.9240748	3613.7649285793304
51	487.5	487.61536	990.0	0.0	131.0	268.75864	815.0	0.0	1000.0	1000.0	203999	90.86024	44.79415	155.45367	-0.8803413	-91.45141	0.97406846	3691.8877527713776
52	232.75	403.13483	931.0	0.0	491.8	456.88397	1000.0	0.0	1000.0	1000.0	207999	90.03628	44.850304	157.86551	-1.6698344	-90.62681	0.92949635	3769.89293718338
53	813.75	163.30244	979.0	645.0	621.6	437.16913	996.0	0.0	1000.0	1000.0	211999	90.22157	44.932224	156.70573	-2.235062	-90.826614	0.8990043	3848.3832592964172
54	698.75	362.4744	966.0	76.0	781.3	390.88593	1000.0	0.0	1000.0	1000.0	215999	90.49173	45.99818	154.93579	-2.197456	-91.111435	0.9300895	3926.724864244461
55	784.5	342.08807	998.0	193.0	776.3	388.24222	981.0	0.0	1000.0	1000.0	219999	91.79555	46.58034	155.40807	-2.9081864	-92.47593	0.97646487	4005.6552500724792
56	966.5	17.356554	992.0	943.0	861.2	288.58682	991.0	0.0	1000.0	1000.0	223999	93.59837	46.87853	156.97545	-1.7233212	-94.27995	0.98742926	4084.1192014217377
57	843.75	235.18756	1000.0	437.0	849.0	285.9654	985.0	0.0	1000.0	1000.0	227999	95.20145	47.049984	158.1421	-4.8751583	-95.90007	1.0236409	4162.465940952301
58	697.0	402.25552	999.0	9.0	879.5	287.08615	1000.0	19.0	1000.0	1000.0	231999	97.01149	47.09049	159.01558	-6.5462255	-97.73998	0.9837164	4240.745401620865
59	973.0	13.546217	995.0	958.0	978.8	18.35647	1000.0	942.0	1000.0	1000.0	235999	99.5182	47.608692	157.77516	-8.990641	-100.25301	1.0214123	4319.333094120026
60	977.75	17.093493	994.0	954.0	955.0	71.90967	1000.0	752.0	1000.0	1000.0	239999	101.41802	48.330124	159.44948	-8.746296	-102.15662	1.0936792	4397.927115917206
61	721.5	360.51804	996.0	102.0	973.9	24.431334	1000.0	923.0	1000.0	1000.0	243999	104.00248	48.508087	160.748	-8.429757	-104.8105	1.1495779	4476.450536966324
62	835.25	264.6964	999.0	377.0	876.8	292.5894	1000.0	0.0	1000.0	1000.0	247999	106.71395	48.424526	164.60909	-4.327342	-107.50957	1.1445836	4555.1082537174225
63	730.25	387.2108	1000.0	63.0	709.6	404.64014	990.0	0.0	1000.0	1000.0	251999	108.63287	48.36515	166.0872	-6.6351852	-109.40606	1.0634146	4633.835977315903
64	940.25	58.490917	982.0	840.0	718.2	399.80215	994.0	0.0	1000.0	1000.0	255999	109.93753	47.870796	167.59459	-7.0606623	-110.69046	1.1034313	4712.565562725067
65	621.75	401.86215	978.0	0.0	924.5	118.85054	992.0	577.0	1000.0	1000.0	259999	110.67542	46.880657	169.3696	-6.2338295	-111.40819	1.0466621	4791.404319286346
66	698.0	401.62482	959.0	5.0	706.0	405.36578	988.0	12.0	1000.0	1000.0	263999	110.59795	44.99512	167.36699	-2.282228	-111.25331	1.0071791	4870.874489307404
67	969.75	16.33057	983.0	943.0	885.2	280.6299	995.0	45.0	1000.0	1000.0	267999	110.10345	43.991432	167.92079	-1.9482961	-110.80419	1.004283	4950.3834273815155
68	901.25	112.34628	988.0	710.0	856.8	293.00064	1000.0	0.0	1000.0	1000.0	271999	110.78466	43.564205	167.92284	-2.7896273	-111.505936	1.0130278	5029.345040559769
69	974.75	5.9319053	980.0	965.0	761.8	386.68613	996.0	0.0	1000.0	1000.0	275999	111.37663	43.132854	167.03568	-2.0814705	-112.106476	1.0029093	5108.407436609268
70	776.75	346.36713	984.0	177.0	781.2	383.12393	996.0	0.0	1000.0	1000.0	279999	112.10207	43.06663	164.64749	-1.7642332	-112.78353	1.052552	5187.4865663051605
71	742.25	399.81332	989.0	50.0	873.3	291.9209	999.0	0.0	1000.0	1000.0	283999	111.8744	42.651478	163.23021	0.18175185	-112.55867	1.0242097	5266.607948541641
72	667.25	396.56485	968.0	0.0	865.0	214.17142	1000.0	402.0	1000.0	1000.0	287999	112.17068	41.888885	161.93593	1.2066894	-112.85702	1.0224986	5345.728397846222
73	973.75	10.256096	988.0	964.0	971.9	15.801582	998.0	945.0	1000.0	1000.0	291999	112.33434	41.10864	162.2786	0.86788565	-113.0213	0.99105716	5424.808153152466
74	973.75	28.39344	994.0	925.0	823.6	322.00006	1000.0	0.0	1000.0	1000.0	295999	112.73556	40.45949	162.25298	1.4785529	-113.41235	0.90713674	5503.93611741066
75	961.75	10.256096	976.0	947.0	891.8	179.80312	994.0	402.0	1000.0	1000.0	299999	112.35883	40.164875	165.4047	1.4986149	-112.97853	0.8978453	5583.05544424057
76	860.75	190.79227	990.0	532.0	721.3	329.63345	992.0	12.0	1000.0	1000.0	303999	112.06276	39.954273	161.69278	1.5053655	-112.71211	0.8457657	5662.415638446808
77	978.5	18.834808	996.0	948.0	975.2	10.419213	993.0	951.0	1000.0	1000.0	307999	111.95855	40.468426	160.67165	1.5067722	-112.584236	0.82534564	5741.729141950607
78	934.0	25.739075	965.0	896.0	866.9	255.83333	1000.0	124.0	1000.0	1000.0	311999	111.39955	40.610023	157.66098	1.5142586	-111.96899	0.78656125	5821.119686365128
79	877.25	100.83495	992.0	731.0	969.0	21.61481	990.0	911.0	1000.0	1000.0	315999	109.88822	40.47897	155.11284	1.517798	-110.42322	0.7520406	5900.568111419678
80	946.75	73.87278	996.0	819.0	959.0	37.42192	999.0	861.0	1000.0	1000.0	319999	108.46306	40.409225	153.98259	1.5148568	-108.97824	0.7670094	5979.849732398987
81	733.0	324.94077	979.0	183.0	616.9	409.20374	990.0	25.0	1000.0	1000.0	323999	107.03236	40.392887	153.49883	1.5124766	-107.523155	0.80957025	6059.20685505867
