Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	138.59966	6.8391232	145.56538	130.2235	129.20232	24.359688	148.4605	58.513054	1000.0	1000.0	3999	8.052195	4.0420485	24.158703	-0.4797584	8.051939	4.04189	24.000637	-0.16517064	-4.040036	0.47121674	3.1290169	-8.747955	-8.808505	0.14571536	2.0442083	2.1899235	129.5695059299469
2	136.21103	6.3570986	144.33804	126.58536	194.26456	83.21608	265.38327	55.89286	1000.0	1000.0	7999	23.868767	5.1548038	44.931633	9.275069	23.870842	5.1546793	45.681824	9.547375	-3.8163176	0.8611608	4.686461	-10.0721	-24.630148	0.29423675	2.9321768	3.2264135	297.86466813087463
3	125.91037	48.095364	190.6037	57.48014	228.33163	23.869703	257.37784	167.53339	1000.0	1000.0	11999	39.142406	5.139164	63.127876	12.049422	39.14197	5.138397	63.175556	11.950827	-3.6024308	1.2849641	7.7310677	-10.827604	-39.903866	0.5679963	3.932639	4.5006356	466.6737153530121
4	172.2326	25.254755	207.17017	136.26984	227.59058	54.563843	269.94888	135.5146	1000.0	1000.0	15999	52.564075	3.9592469	75.18976	32.39756	52.56669	3.9606762	75.60569	32.383965	-3.8339863	0.8460765	7.5570207	-13.729644	-53.237934	0.71985257	4.449417	5.1692696	635.8780860900879
5	190.98929	34.123947	218.68498	132.92172	274.91898	73.8263	361.1945	144.20352	1000.0	1000.0	19999	63.592323	3.4397035	84.70801	48.572014	63.591156	3.4389024	83.582184	48.77682	-3.803606	0.87045	3.9938307	-10.5414715	-64.23479	0.8261984	4.8194776	5.645676	805.5400338172913
6	273.98346	45.02828	330.7833	217.99858	301.02335	55.772343	377.32248	230.96585	1000.0	1000.0	23999	73.24907	3.5335944	94.322876	58.765667	73.25246	3.5378106	95.90689	59.284515	-3.6694493	1.0813098	6.959933	-11.1165695	-73.89595	0.9888456	5.2326407	6.221486	975.540997505188
7	364.46707	33.10052	407.8743	329.75708	382.98453	41.58557	450.7406	339.76254	1000.0	1000.0	27999	82.392715	4.2335825	105.92999	69.94506	82.39538	4.2327604	106.958206	68.34212	-3.474018	1.2704524	16.888916	-10.881378	-83.04808	1.1459109	5.665617	6.811528	1146.1019914150238
8	447.10886	8.75363	459.14554	437.54538	386.23138	51.18041	511.61633	338.6572	1000.0	1000.0	31999	91.45835	5.1542606	114.26486	77.11356	91.45934	5.1517444	114.86427	77.16183	-3.239847	1.4453157	7.9945874	-12.946924	-92.13172	1.3678604	6.240146	7.608006	1317.4765331745148
9	472.48022	17.289295	494.0146	450.2401	386.30823	22.25491	444.08093	355.73322	1000.0	1000.0	35999	99.9525	5.5573916	122.54793	84.101326	99.95257	5.555176	123.083015	84.75899	-3.2435925	1.4467876	9.861401	-13.163922	-100.61297	1.4017241	6.359254	7.7609787	1488.567378282547
10	482.85065	17.364065	508.24677	459.6119	397.8547	34.506405	498.1468	369.98123	1000.0	1000.0	39999	107.35844	5.5871696	131.77373	89.88264	107.35912	5.5859427	132.08542	90.050385	-3.140799	1.5264429	9.31827	-12.561343	-108.02984	1.4926587	6.569938	8.062596	1659.5147655010223
11	482.68652	14.878076	505.89005	465.17957	491.81598	31.36136	534.73694	428.09897	1000.0	1000.0	43999	113.62358	5.039201	134.15366	95.79083	113.6287	5.0409536	135.03912	95.21842	-3.275151	1.4248457	10.856071	-12.718182	-114.263664	1.4008511	6.33574	7.736591	1829.9719560146332
12	511.03845	31.033087	560.35626	474.98828	502.91553	16.372372	535.72894	480.29736	1000.0	1000.0	47999	118.21079	5.3101206	138.75883	99.67566	118.21001	5.3109584	138.46855	99.45184	-3.297422	1.418369	11.796032	-11.32209	-118.83722	1.3940347	6.309642	7.7036767	2002.6049993038177
13	517.5554	20.809137	537.2135	483.09726	426.1356	45.807102	534.47046	383.0447	1000.0	1000.0	51999	122.507	5.37751	142.94931	101.90763	122.50927	5.378505	143.25323	102.382286	-3.2528763	1.434081	10.050957	-11.858362	-123.142715	1.4476326	6.4061365	7.853769	2173.648842573166
14	515.91064	86.03854	601.1072	390.3404	630.8629	228.80516	943.5624	390.7527	1000.0	1000.0	55999	126.18053	5.353712	147.28969	104.778725	126.18134	5.349305	147.53323	105.36782	-3.2027285	1.4872495	9.476948	-12.077811	-126.81353	1.5194246	6.5370803	8.056504	2344.175719499588
15	590.9322	49.815826	674.9957	549.8374	661.99133	189.58162	957.69434	454.35944	1000.0	1000.0	59999	129.62708	5.2809663	149.5266	105.74484	129.62704	5.2813525	149.9343	107.39908	-3.2121847	1.4870924	10.473823	-13.505522	-130.25395	1.5317513	6.5582833	8.0900345	2516.4958980083466
16	592.42535	13.925643	614.6448	576.3468	688.92615	138.90208	971.7171	601.90753	1000.0	1000.0	63999	132.59492	5.507122	154.1755	109.970245	132.59956	5.5062475	153.10532	110.91693	-3.195381	1.4952207	9.384305	-12.687967	-133.21744	1.5950812	6.7005935	8.295673	2687.2645637989044
17	659.25006	37.08543	708.6609	610.54736	666.4011	135.21599	904.863	507.04276	1000.0	1000.0	67999	135.41972	5.733065	157.80763	110.86916	135.42516	5.7321086	156.04259	112.641624	-3.1294224	1.5189494	8.429106	-11.756485	-136.03381	1.7318383	6.9578123	8.689651	2858.222312927246
18	684.07623	34.188175	719.19916	648.657	924.7949	30.137695	971.53876	885.3919	1000.0	1000.0	71999	138.07999	6.2144	159.8805	113.51378	138.08398	6.21302	160.3329	114.4446	-3.0763168	1.5546031	10.889343	-12.37641	-138.68404	1.8457537	7.1626563	9.00841	3032.426595687866
19	737.92365	78.92587	819.5982	625.48627	940.00354	35.87066	990.5348	880.57336	1000.0	1000.0	75999	140.66891	6.6265025	163.83566	115.45982	140.67226	6.6253786	163.30331	116.206	-3.0271845	1.5822626	10.538979	-12.48541	-141.27492	1.9762927	7.3808727	9.357165	3212.3942494392395
20	753.82117	67.52603	848.9523	658.6865	910.69696	68.3242	991.33374	789.4773	1000.0	1000.0	79999	143.10075	7.2427864	165.65059	116.318886	143.10065	7.2400203	165.87788	117.400536	-2.9890976	1.6019688	10.726907	-13.801655	-143.69632	2.1468492	7.6979885	9.844836	3396.6617674827576
21	785.0997	49.17462	847.1806	714.1678	973.5321	17.822638	998.4364	934.6219	1000.0	1000.0	83999	145.534	8.00232	169.952	117.4459	145.53871	8.001968	169.2902	118.11347	-2.89545	1.6444535	10.0027485	-13.252052	-146.12944	2.296604	7.9307685	10.227372	3579.7792756557465
22	801.1979	91.912926	956.50024	721.6411	929.35333	29.243595	978.5708	879.63837	1000.0	1000.0	87999	148.05014	8.6354265	172.25557	116.869026	148.05064	8.631074	172.20074	118.00163	-2.8645716	1.654657	8.987749	-13.212633	-148.63428	2.4561799	8.196527	10.652706	3763.468063354492
23	910.45703	35.27551	962.2975	866.3457	964.72986	10.148436	979.32556	950.77673	1000.0	1000.0	91999	150.42943	9.173028	175.56984	119.888336	150.42862	9.170143	175.02974	121.343925	-2.857456	1.665485	11.020687	-12.4893465	-151.01047	2.485481	8.214063	10.699543	3947.8848304748535
24	948.19385	21.420048	970.4122	920.14984	974.13806	22.688921	999.73724	922.6994	1000.0	1000.0	95999	152.86143	9.901454	177.5141	124.27077	152.86308	9.899854	177.75887	124.473564	-2.8009384	1.6850735	9.359827	-13.167069	-153.45277	2.5589945	8.344875	10.903869	4131.982369661331
25	967.61	12.047815	985.6442	953.7042	970.3649	15.13981	990.39825	932.5513	1000.0	1000.0	99999	155.49667	10.741683	181.16295	124.46276	155.49905	10.74076	180.5553	125.45858	-2.7682106	1.6957043	11.473012	-13.190251	-156.08922	2.621905	8.414329	11.036232	4317.385145664215
26	970.27576	6.457013	977.2422	963.6204	953.9129	18.640444	986.57263	924.43774	1000.0	1000.0	103999	158.12123	11.507694	189.18217	125.63628	158.12398	11.506897	187.85872	126.50347	-2.7095869	1.7375933	12.654449	-11.705109	-158.72307	2.7340713	8.554352	11.288423	4501.4253215789795
