Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	138.59966	6.8391232	145.56538	130.2235	129.62277	34.696995	150.58795	26.166359	1000.0	1000.0	3999	2.4215596	1.250796	15.649873	-0.997708	-2.6076705	0.016180707	54.19981789588928
2	136.21103	6.3570986	144.33804	126.58536	217.4751	94.65191	289.92413	25.729206	1000.0	1000.0	7999	12.585449	6.062217	37.21167	1.7679601	-13.58506	0.10917218	122.20520091056824
3	194.3135	67.31156	265.21765	114.03564	127.73026	116.98476	288.7935	25.283812	1000.0	1000.0	11999	30.777664	6.839448	50.49254	1.5411756	-31.721306	0.28051126	196.40636038780212
4	201.2464	100.75942	264.92853	26.827892	192.29579	110.56549	267.403	20.972006	1000.0	1000.0	15999	36.693764	4.496908	60.696777	14.431278	-37.043434	0.28350103	267.05218029022217
5	144.95966	118.09501	265.5293	21.077978	119.20664	119.67649	266.64438	21.215588	1000.0	1000.0	19999	34.190834	4.194611	58.923203	22.879972	-34.13416	0.20358972	339.92633533477783
6	83.62729	103.89635	263.5426	21.814674	178.65163	140.20792	359.1465	21.461462	1000.0	1000.0	23999	29.763004	2.3826098	50.540836	20.944056	-29.853275	0.08801561	411.2633628845215
7	21.907568	0.8199519	23.212864	20.975782	141.30815	120.257385	265.35413	20.780737	1000.0	1000.0	27999	28.07581	4.1788044	43.089413	18.533413	-28.18126	0.064831324	479.0506200790405
8	202.11069	102.6808	267.61548	24.387928	155.70102	115.53754	270.53818	20.910866	1000.0	1000.0	31999	26.252193	5.7392116	42.266773	14.970652	-26.315046	0.040259182	548.8311870098114
9	145.44972	119.95847	265.7985	23.51418	119.445694	88.7561	261.9036	21.547386	1000.0	1000.0	35999	24.61372	6.4978075	40.508915	13.623387	-24.655226	0.033154234	616.3120226860046
10	223.85843	120.69778	341.2818	21.647884	131.0509	113.781265	265.94217	21.169611	1000.0	1000.0	39999	23.591948	6.8359094	39.622005	12.445137	-23.67006	0.034839142	689.7735507488251
11	51.50297	52.027264	141.61665	21.294453	156.32925	115.50654	273.81244	21.336554	1000.0	1000.0	43999	22.818785	8.047055	41.87992	10.26775	-22.910614	0.029592415	758.858546257019
12	146.10243	121.11281	268.0448	22.532326	186.80795	111.08208	338.97162	20.71205	1000.0	1000.0	47999	22.422682	9.021968	42.50029	9.575741	-22.496727	0.027697025	832.9664108753204
13	137.41913	115.17804	256.52515	21.69904	138.99553	83.14983	342.1142	21.23932	1000.0	1000.0	51999	21.58635	9.900576	41.95493	8.131497	-21.631617	0.026482888	910.5007679462433
14	151.2649	85.247856	261.32632	23.20246	216.40955	133.59764	390.62506	21.407543	1000.0	1000.0	55999	20.891504	10.428273	41.509693	6.8332863	-20.948511	0.027261572	982.851226568222
15	206.09818	106.27474	268.70377	22.03229	198.82857	117.63972	344.46753	21.238132	1000.0	1000.0	59999	20.76454	11.103147	42.43397	5.667264	-20.816677	0.030597985	1052.321747303009
16	141.47534	119.82127	264.7618	21.6434	191.35992	120.98298	339.98526	21.333168	1000.0	1000.0	63999	20.154913	11.662846	41.541042	4.266672	-20.203293	0.033074047	1121.3623168468475
17	179.6711	88.297714	263.5411	56.439785	181.93353	113.061676	367.6115	24.062443	1000.0	1000.0	67999	19.781158	12.052999	42.086697	2.8464801	-19.836952	0.032586314	1196.9335672855377
18	105.59357	146.69856	359.6828	20.66049	211.66006	106.43945	351.32156	22.938137	1000.0	1000.0	71999	19.333094	12.25484	44.039936	3.4316273	-19.36857	0.02648869	1272.0791015625
19	192.4915	122.214745	339.4632	24.040802	196.06815	139.07268	368.96698	21.30075	1000.0	1000.0	75999	18.737225	12.357155	42.3157	1.6042213	-18.779402	0.02965415	1351.4751975536346
20	168.43658	146.55983	357.40475	22.286776	200.88852	114.30197	358.50412	47.78852	1000.0	1000.0	79999	18.561306	12.459826	42.14748	2.4080617	-18.599464	0.031662326	1425.1189107894897
21	144.10396	109.87681	255.3466	29.207205	228.16377	115.446205	358.0106	37.288937	1000.0	1000.0	83999	18.35902	12.1066065	40.6877	2.7607331	-18.39175	0.02666906	1500.5968284606934
22	213.2623	117.26073	340.4579	21.589336	204.44145	119.52827	365.72803	21.127037	1000.0	1000.0	87999	18.165457	12.030711	41.56941	2.5278456	-18.195127	0.028808454	1582.709088563919
23	290.806	41.10749	361.99927	266.19116	133.20021	111.302795	267.65298	21.318829	1000.0	1000.0	91999	18.274761	12.236932	43.42306	2.6646953	-18.30248	0.028922603	1662.1940596103668
24	181.2271	140.50897	368.6423	38.359318	281.30814	38.5624	358.90448	248.40213	1000.0	1000.0	95999	18.40991	12.260505	41.258305	2.0281522	-18.440044	0.035083406	1738.6297585964203
25	153.87332	109.58507	264.7814	41.102737	192.88243	112.35001	360.0975	35.448814	1000.0	1000.0	99999	18.157873	12.167764	42.707603	1.7934337	-18.194538	0.03265527	1813.843556880951
26	173.8712	139.7421	356.26233	22.444492	197.0331	118.09566	357.8423	22.41418	1000.0	1000.0	103999	18.217386	12.169602	43.51537	1.3590806	-18.245964	0.033006493	1893.337107181549
27	179.58972	137.04944	358.06076	40.438477	174.68246	132.19559	368.17493	37.790607	1000.0	1000.0	107999	18.073298	12.284264	43.113956	2.013773	-18.105804	0.033338234	1970.756856918335
28	209.66858	92.42597	265.32672	49.600727	191.93304	106.22067	357.31696	37.521145	1000.0	1000.0	111999	18.125774	12.319206	42.194706	1.860194	-18.15483	0.029061347	2049.2702803611755
29	225.88663	111.309494	338.9868	41.015358	214.9574	115.254814	358.76227	38.008858	1000.0	1000.0	115999	18.12156	12.308683	42.287388	1.9704514	-18.15364	0.03004718	2132.5831553936005
30	210.22351	92.19687	267.4413	50.6482	196.62683	90.31422	267.76944	43.501083	1000.0	1000.0	119999	18.377573	12.330167	45.051666	2.119607	-18.408672	0.027890686	2211.939447402954
31	307.138	42.42019	356.55606	263.9116	120.09828	98.21428	266.03436	39.003857	1000.0	1000.0	123999	18.621214	12.283576	43.80329	1.9804544	-18.64866	0.024933288	2294.44877243042
