Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	0.29418814	0.09128277	0.44294778	0.16639139	1000.0	1000.0	3999	6.011198	2.9882505	11.775126	-0.46550372	6.011141	2.9882953	11.921945	-0.19100732	-4.075292	0.3895041	-1.0020294	-11.449929	-6.798333	0.033506468	0.033506468	141.78172636032104
2	3.7942524	1.0798535	5.415233	2.5482285	0.4162779	0.14704089	0.7331046	0.24888647	1000.0	1000.0	7999	17.192797	3.4098835	23.668743	10.488415	17.192663	3.4103382	23.831276	10.453015	-4.086678	0.34901062	-1.7783899	-9.717386	-17.95425	0.05535862	0.05535862	332.2552125453949
3	3.8799784	1.350832	5.866507	2.4252748	0.26511598	0.13054518	0.52491593	0.07661368	1000.0	1000.0	11999	27.88812	2.8006587	33.842976	22.070322	27.887962	2.801491	33.735703	22.268694	-4.08624	0.34805155	0.955204	-10.994251	-28.640335	0.07258997	0.07258997	524.2039384841919
4	5.366743	0.7910832	6.7338743	4.831934	0.27889532	0.11884308	0.5109155	0.11706571	1000.0	1000.0	15999	36.682114	2.31392	41.805904	30.963623	36.682014	2.3147962	41.65777	31.023607	-4.091113	0.32187536	-0.42629623	-10.680501	-37.43117	0.07546406	0.07546406	717.6502587795258
5	5.837456	2.24862	9.292253	3.5026255	0.15154181	0.031707343	0.21956256	0.090306	1000.0	1000.0	19999	44.01688	1.9547721	48.465763	39.004837	44.016766	1.956294	48.48911	38.95559	-4.0924163	0.3148822	-1.1933193	-10.093742	-44.77125	0.06675795	0.06675795	911.6558346748352
6	6.3045964	2.0193932	9.660315	4.2560315	0.16833523	0.03555042	0.2333612	0.094282426	1000.0	1000.0	23999	50.2222	1.6594639	54.109642	46.18155	50.22212	1.6611167	54.189507	46.282482	-4.0942574	0.30908516	-0.13990593	-9.716983	-50.984047	0.05775693	0.05775693	1107.2733173370361
7	5.3160963	0.79507554	6.583391	4.564292	0.46730614	0.2061755	0.82926816	0.2049065	1000.0	1000.0	27999	55.49559	1.4112403	58.979687	51.919888	55.495495	1.4127393	59.395916	52.004414	-4.0960193	0.30316266	-1.9090385	-11.048244	-56.26306	0.0497643	0.0497643	1301.26646900177
8	5.5456924	1.9594272	8.035752	3.481775	1.1647298	1.108302	3.086124	0.29171696	1000.0	1000.0	31999	59.947704	1.1913987	63.119022	56.778812	59.947643	1.1929923	63.09699	57.002903	-4.097914	0.30012456	-2.5459814	-10.24279	-60.71811	0.045105994	0.045105994	1496.42516207695
9	5.72109	2.1014555	7.9413695	3.1040196	0.25101012	0.23529994	0.9285562	0.07907746	1000.0	1000.0	35999	63.67036	0.99407464	66.37899	61.08128	63.670296	0.99579144	66.38837	61.2184	-4.099113	0.2977583	-2.3467612	-9.536417	-64.44194	0.0410589	0.0410589	1692.7366361618042
10	4.4257445	0.687733	5.1491094	3.7069728	0.86441576	0.59163064	1.7924739	0.16951609	1000.0	1000.0	39999	66.75448	0.82794255	69.34274	64.364365	66.754456	0.8294052	69.66652	64.61645	-4.0987916	0.29788023	-2.3100986	-9.819657	-67.530624	0.04009246	0.04009246	1891.4002034664154
11	5.791529	1.5192704	7.8237157	3.748717	0.7755428	1.3357949	4.7416244	0.12775481	1000.0	1000.0	43999	69.30031	0.6895582	71.632576	67.51768	69.300285	0.6913049	71.76868	67.40618	-4.098464	0.29791775	-2.653203	-9.620062	-70.081375	0.038301416	0.038301416	2091.32696557045
12	4.778342	1.1254658	6.4602675	3.4365208	0.5021563	0.47564375	1.5482513	0.15925369	1000.0	1000.0	47999	71.40328	0.5767994	73.66444	69.886696	71.40325	0.57803667	73.70145	69.604576	-4.0990353	0.29423708	-2.5970812	-9.117539	-72.185	0.03707322	0.03707322	2290.5174899101257
13	4.836317	2.0029826	7.4229994	2.5946984	1.0627338	0.61814314	2.271562	0.3750852	1000.0	1000.0	51999	73.12209	0.48032427	75.2677	71.57	73.12206	0.48295054	75.27207	71.43282	-4.098511	0.29744887	-2.3809013	-10.66771	-73.90328	0.039308272	0.039308272	2490.1575837135315
14	4.923909	1.308173	6.8946605	3.4286842	0.3962718	0.33491534	1.1534001	0.061590362	1000.0	1000.0	55999	74.53303	0.4065483	76.37809	73.12889	74.53302	0.40748024	76.732864	73.208954	-4.099861	0.29548687	-2.3815594	-9.880104	-75.31545	0.03437262	0.03437262	2689.9354288578033
15	4.726071	1.3714255	7.0123506	3.524961	2.2706635	1.0322579	3.6970682	0.86381465	1000.0	1000.0	59999	75.70225	0.3517056	77.53487	74.44178	75.70225	0.35373673	77.59787	74.368034	-4.0988855	0.29629079	-2.3992748	-8.985426	-76.49117	0.036148045	0.036148045	2891.8514289855957
16	4.370136	2.9467764	9.431185	2.0808754	1.5386283	0.432036	2.2338119	0.867171	1000.0	1000.0	63999	76.667305	0.30420512	78.451614	75.27952	76.6673	0.3065018	78.433014	75.02044	-4.099386	0.29452592	-2.4283867	-10.397018	-77.45125	0.03409262	0.03409262	3092.7958548069
17	4.6454124	1.646491	6.233648	2.1910374	1.6383932	0.7995828	2.5297174	0.30045334	1000.0	1000.0	67999	77.46652	0.26686195	79.37846	76.413666	77.46651	0.27007386	79.239655	76.12464	-4.099069	0.2965162	-2.4403248	-11.135783	-78.254875	0.03429322	0.03429322	3296.603691101074
18	4.0612955	1.9586251	7.005106	2.2776825	1.6355374	1.0380131	4.377956	0.8693798	1000.0	1000.0	71999	78.12592	0.23929569	79.926926	76.93883	78.12588	0.24273308	80.075645	76.94826	-4.099595	0.297451	-2.5820794	-9.146004	-78.92098	0.033034638	0.033034638	3506.0889542102814
19	5.231722	2.2630618	8.813425	2.756286	2.0012665	1.0801452	3.8585718	0.36921898	1000.0	1000.0	75999	78.67393	0.22073247	80.504135	77.736244	78.67392	0.2238154	80.73303	77.233154	-4.0986695	0.29740173	-2.4803696	-9.23081	-79.459625	0.032540306	0.032540306	3723.5427350997925
20	4.871354	1.4093275	6.318176	2.6428697	2.429677	1.6329534	5.3060465	0.24379778	1000.0	1000.0	79999	79.12844	0.20660438	81.04302	78.22195	79.12844	0.20997253	81.05952	78.05091	-4.0991573	0.29534552	-2.3990688	-9.870031	-79.91878	0.033370703	0.033370703	3943.681964159012
21	5.0145164	0.6808037	5.909899	4.216329	3.0339932	1.0513327	5.539108	1.5980759	1000.0	1000.0	83999	79.50609	0.19681147	81.28306	78.55565	79.50604	0.20058921	81.697464	78.61435	-4.099697	0.29896104	-2.2992005	-9.533696	-80.298035	0.03177335	0.03177335	4166.442173719406
22	6.123744	1.636291	8.568877	4.5858793	7.0784445	0.99965006	8.855353	5.823803	1000.0	1000.0	87999	79.81813	0.1898326	81.620346	78.74968	79.81814	0.19337925	81.631256	78.80229	-4.098984	0.29874352	-2.3187103	-8.835413	-80.61199	0.03330725	0.03330725	4388.527454614639
23	3.6440678	0.7760516	4.4469414	2.45878	4.7996163	1.2773829	6.5533376	1.8571453	1000.0	1000.0	91999	80.08235	0.18139504	82.05588	79.16474	80.08233	0.18365283	81.90376	79.17353	-4.099019	0.29770738	-2.5746126	-9.547904	-80.87251	0.03233488	0.03233488	4611.280349493027
24	6.1760287	0.97050905	7.4707546	5.0126762	4.053986	1.5445508	6.7903566	1.0902411	1000.0	1000.0	95999	80.30017	0.17993173	82.250854	79.323715	80.30017	0.18238446	82.24447	79.27916	-4.0994062	0.29748842	-2.6514626	-9.630462	-81.084465	0.032334834	0.032334834	4834.456200122833
25	4.5441556	1.1436352	6.412111	3.3017542	2.2888532	1.1306666	3.8742568	0.489549	1000.0	1000.0	99999	80.48129	0.1745845	82.31298	79.445595	80.48129	0.1787373	82.19439	79.52231	-4.0990133	0.29864478	-2.2554364	-9.683162	-81.27919	0.030744147	0.030744147	5058.492906332016
26	4.7769623	1.7157533	7.460701	2.8072977	2.593929	1.0905269	3.979043	0.98314446	1000.0	1000.0	103999	80.62995	0.17198458	82.46083	79.67881	80.62993	0.1747929	82.51242	79.77938	-4.098604	0.2957458	-2.569891	-10.208759	-81.41956	0.031075181	0.031075181	5284.51754283905
