Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
20	565.31335	42.040028	620.6125	506.2904	718.4102	38.37366	791.1786	668.1821	1000.0	1000.0	79999	174.08554	7.778981	198.27878	-143.69373	174.08601	7.719823	198.5938	-70.49251	-4.865166	1.383072	18.658419	-14.8341875	-174.94853	6.1825924	6.4029737	12.5855665	3154.1340062618256
21	526.76117	12.952192	546.0302	509.68317	659.75244	113.9493	881.16705	516.4541	1000.0	1000.0	83999	174.48048	7.925678	199.64574	-128.73402	174.47882	7.928388	198.65768	-124.94071	-4.9029202	1.3242801	23.013376	-12.754818	-175.36781	6.0879	6.331265	12.419166	3346.357748270035
22	609.0333	59.406475	698.2205	550.248	783.9427	54.214367	862.6029	704.3537	1000.0	1000.0	87999	174.93417	7.8977885	200.5078	-90.28143	174.92752	7.9261937	202.35757	-140.51224	-4.923023	1.2706264	17.868692	-14.338742	-175.8135	5.392388	6.2757287	11.668117	3539.367905855179
23	609.73096	44.0873	655.93396	538.0846	516.2593	92.09727	703.3775	416.55347	1000.0	1000.0	91999	175.66061	8.033067	201.93753	-109.15789	175.65648	8.010197	203.61038	-66.7296	-4.918591	1.2876298	19.314934	-16.472208	-176.5418	5.207495	6.1837697	11.391265	3735.702187538147
24	598.5704	73.54388	707.1451	508.28955	666.81055	68.9354	748.023	486.59604	1000.0	1000.0	95999	176.17078	8.097248	202.854	-106.484085	176.17114	8.065782	203.70235	-83.03981	-4.9108696	1.3381399	19.019066	-13.755272	-177.05728	5.482945	6.203689	11.686633	3932.093284845352
25	572.23846	80.94332	667.1759	475.84363	700.9124	67.208	808.1997	592.67883	1000.0	1000.0	99999	176.79562	8.150884	205.57846	-139.9174	176.79794	8.1117935	206.12724	-122.019936	-4.9309707	1.334204	19.126976	-14.270367	-177.68953	4.5620604	6.0679493	10.63001	4136.693232297897
26	649.50464	73.546196	714.5572	524.58453	703.44135	64.562325	809.8946	596.7852	1000.0	1000.0	103999	177.3593	8.291989	204.81552	-85.11909	177.3582	8.285872	205.26134	-98.9251	-4.9527354	1.3146487	17.181316	-12.553274	-178.26071	4.6034493	6.0523853	10.655834	4334.78731918335
27	612.3449	61.402954	673.87286	538.0605	631.8109	101.65513	835.0647	514.6234	1000.0	1000.0	107999	178.06758	8.622241	205.00798	-150.89249	178.06895	8.595089	205.79701	-148.73904	-4.961095	1.2590781	17.12081	-16.445309	-178.95784	4.555293	6.072715	10.628008	4535.968346834183
28	626.5249	50.42209	698.5863	576.7961	762.66406	104.12388	921.85864	589.1419	1000.0	1000.0	111999	178.64603	8.765612	205.1409	-82.18929	178.64201	8.76267	206.39893	-68.183846	-4.9479923	1.3123392	19.733522	-14.204604	-179.55553	4.363243	6.0137806	10.377024	4735.924024581909
29	542.256	7.5170264	554.67084	534.4637	815.0204	67.39653	922.4112	709.83795	1000.0	1000.0	115999	179.13055	8.868956	207.03745	-115.63341	179.12427	8.885017	208.60968	-139.62788	-4.933312	1.3466089	21.258327	-12.847938	-180.03348	4.736469	6.01809	10.754559	4934.723199367523
30	577.6811	64.17539	681.8851	509.92557	773.99615	74.79302	891.03534	634.0673	1000.0	1000.0	119999	179.47966	8.929326	208.36908	-144.77814	179.47232	8.935149	208.9282	-93.0141	-4.9483852	1.3091409	24.623634	-15.236431	-180.38637	4.149623	5.9103713	10.059994	5134.023628950119
31	611.64197	93.557465	705.50366	488.8512	709.72546	64.053734	797.6004	571.4667	1000.0	1000.0	123999	179.8961	9.083545	208.42265	-101.27511	179.89398	9.086374	208.62201	-84.8103	-4.997978	1.2313825	17.406588	-13.255737	-180.79628	3.7505686	5.8546014	9.60517	5331.560914516449
32	573.2186	71.0777	689.8966	502.739	785.38354	77.338234	892.5923	668.375	1000.0	1000.0	127999	180.35052	9.330083	209.36638	-127.696075	180.34702	9.3201685	210.01779	-114.44138	-4.97621	1.2582327	22.093754	-12.128063	-181.2506	3.6528308	5.82479	9.477621	5530.623518943787
33	530.5634	37.80046	561.4395	468.321	821.0923	48.26573	878.78467	698.58203	1000.0	1000.0	131999	180.62628	9.411311	209.2937	-104.19115	180.61534	9.429086	210.67342	-105.112206	-4.9992237	1.2140973	18.642174	-13.869498	-181.52559	3.7871006	5.8008914	9.587992	5728.326999902725
34	549.22656	70.96278	602.0521	427.0175	840.61865	32.95775	891.04297	810.7296	1000.0	1000.0	135999	180.81064	9.724467	210.2456	-81.16064	180.80676	9.726249	209.55412	-82.19627	-5.0143423	1.1719551	16.462141	-13.574493	-181.72379	3.9145827	5.7632246	9.677807	5928.706912755966
35	552.41943	65.53202	646.995	470.95178	768.56555	116.798775	891.2195	546.90076	1000.0	1000.0	139999	181.22533	9.974268	211.14621	-96.78901	181.21565	9.990871	211.22716	-129.10895	-4.9778967	1.231957	16.52408	-13.24605	-182.14632	4.3296504	5.91123	10.240881	6128.7904624938965
36	596.9625	26.290436	631.78076	571.5046	817.256	65.24635	893.97046	716.1556	1000.0	1000.0	143999	181.54402	10.109363	212.25128	-90.99014	181.53935	10.111132	211.55025	-118.14623	-4.9851203	1.2282666	22.122885	-12.918867	-182.461	4.0760727	5.820606	9.89668	6329.899292707443
37	645.83435	73.64071	769.7051	587.01196	753.65344	87.206375	832.85626	593.0851	1000.0	1000.0	147999	181.8862	10.385846	212.23068	-128.18404	181.88478	10.365823	213.8779	-89.82034	-4.9845686	1.2242416	19.465252	-13.2939415	-182.8114	3.512285	5.688582	9.200868	6532.931400775909
38	640.29364	64.832245	750.01575	585.0464	746.7711	104.90942	905.3816	548.9168	1000.0	1000.0	151999	182.1173	10.493333	213.60684	-79.80585	182.1129	10.498924	213.63109	-95.881386	-5.0063467	1.1844531	21.969433	-13.598604	-183.03526	3.0519693	5.6399627	8.691932	6734.310471773148
39	646.58856	59.811554	740.1778	584.69904	768.4888	63.94102	909.07263	699.19	1000.0	1000.0	155999	182.3849	10.60075	213.82323	-62.98715	182.37944	10.597055	214.06229	-58.762905	-5.0069923	1.1808777	19.482782	-13.125003	-183.30225	2.9152424	5.6218777	8.53712	6936.545844554901
40	685.7692	53.260628	733.90393	602.27155	712.0779	74.55319	816.501	588.1309	1000.0	1000.0	159999	182.78139	10.72741	214.51703	-101.46626	182.77544	10.737386	214.26491	-131.72926	-5.0055614	1.186202	17.447357	-11.760504	-183.69609	3.1556456	5.71671	8.872355	7140.03648519516
41	678.44025	21.46137	692.7117	641.47125	784.9867	91.141045	917.5863	603.0425	1000.0	1000.0	163999	183.07562	10.823501	213.30804	-105.618935	183.0773	10.824366	214.25113	-91.44903	-4.999888	1.1692402	20.918734	-14.627796	-183.98077	3.1504996	5.603166	8.753666	7343.922815799713
42	656.19836	32.631123	702.1637	610.6925	760.93115	106.86159	882.33344	548.30237	1000.0	1000.0	167999	183.36612	10.937957	214.35567	-95.40663	183.36368	10.93264	214.94637	-70.3242	-4.98829	1.1770563	17.011711	-13.23971	-184.2866	3.0178046	5.6453085	8.663114	7547.210289478302
43	736.8648	74.88332	821.02045	617.6848	786.6674	94.392166	938.9905	656.49457	1000.0	1000.0	171999	183.65614	11.200718	216.2983	-79.94035	183.6519	11.198841	216.42535	-104.47148	-4.9654164	1.228844	17.48539	-14.2660675	-184.57872	3.1128988	5.741157	8.854056	7755.994259595871
44	723.4325	66.684555	808.26965	633.6183	812.53345	28.913633	863.4073	755.56116	1000.0	1000.0	175999	184.17984	11.34063	219.00102	-78.6008	184.18172	11.333174	216.6572	-65.9448	-4.9630694	1.1981543	20.755054	-15.207819	-185.10126	3.5364864	5.786716	9.323202	7958.365726709366
45	767.3888	45.904804	843.76996	721.1084	812.9706	67.27254	909.8109	650.4924	1000.0	1000.0	179999	184.69997	11.457831	218.86992	-76.30395	184.69482	11.473334	217.99275	-104.156586	-4.947413	1.2208794	17.3707	-12.872183	-185.62038	2.9238782	5.7946167	8.718494	8163.188484430313
46	775.1629	48.496666	826.6037	699.6707	796.37274	56.39328	866.0969	692.6117	1000.0	1000.0	183999	185.29681	11.678816	218.96432	-102.87239	185.29358	11.681801	219.19458	-103.95354	-4.9362483	1.2490199	20.515854	-15.625742	-186.21773	3.2912154	5.865939	9.157154	8366.881288766861
47	735.7515	57.77616	830.7845	680.7183	772.88806	120.962265	965.82837	592.3021	1000.0	1000.0	187999	185.82346	11.839697	220.02522	-76.43759	185.8167	11.840941	219.10677	-65.64135	-4.950972	1.228958	15.58424	-13.350456	-186.74538	2.4147973	5.6903887	8.1051855	8570.904728412628
48	671.4265	65.950516	785.18335	625.64386	761.6655	81.437515	857.8055	621.0193	1000.0	1000.0	191999	186.11021	11.961063	220.42252	-112.527084	186.10916	11.952298	220.4043	-76.23117	-4.952629	1.2175379	22.35037	-13.870489	-187.04535	3.194803	5.8226085	9.017411	8775.469606161118
49	710.0785	38.71752	750.0969	646.04803	782.5377	68.96119	930.7052	696.21576	1000.0	1000.0	195999	186.44643	12.024478	220.63466	-71.98463	186.44328	12.026647	219.90536	-84.479866	-4.9369836	1.2426306	17.950111	-13.027252	-187.37834	3.389734	5.8024373	9.192171	8983.493899345398
50	721.6084	60.700897	774.3688	624.675	813.3957	16.895897	841.4488	785.33325	1000.0	1000.0	199999	186.73257	12.06441	222.04411	-116.992546	186.73254	12.06536	220.72334	-71.874275	-4.8939857	1.316757	18.03135	-14.415264	-187.65965	3.01198	5.796598	8.8085785	9188.160433530807
51	693.88745	31.679132	738.6817	650.36273	838.2461	23.152206	901.27576	811.38055	1000.0	1000.0	203999	187.01389	12.090658	220.79054	-59.60978	187.01274	12.084996	220.259	-78.73282	-4.9420605	1.238617	18.437304	-11.892287	-187.93193	2.9557436	5.8186502	8.774393	9392.80489063263
52	699.906	47.254395	761.01904	632.0957	772.64905	35.11271	814.69006	710.47046	1000.0	1000.0	207999	187.33266	12.092536	220.68909	-140.30283	187.3288	12.083007	221.4609	-70.48601	-4.949596	1.2122371	17.646238	-12.599782	-188.24643	2.9491632	5.7883415	8.737504	9597.531963825226
53	651.46796	37.533768	708.72015	611.8088	830.85223	51.549328	900.999	692.13617	1000.0	1000.0	211999	187.50784	12.103436	221.90382	-92.7347	187.50774	12.099757	221.21568	-81.36273	-4.957624	1.2067764	21.386814	-13.914951	-188.4264	2.4986045	5.6807213	8.179325	9802.517909765244
54	732.92474	79.76705	848.18896	636.1464	773.8525	58.114613	828.2317	643.5139	1000.0	1000.0	215999	187.76602	12.261975	222.22931	-90.63458	187.7646	12.254446	223.72903	-74.7853	-4.942208	1.1818275	17.844467	-13.782818	-188.68953	2.8848953	5.788509	8.673405	10009.370852947235
55	699.5036	36.0669	749.304	664.0852	816.2132	53.686417	875.80896	674.2558	1000.0	1000.0	219999	187.94582	12.246103	225.1165	-90.820274	187.94266	12.244044	223.34976	-88.21677	-4.9403276	1.2100058	21.329002	-13.804082	-188.8665	2.8238757	5.761543	8.585418	10213.435650348663
56	735.966	52.794704	817.94434	674.2209	773.05524	87.95479	918.59576	636.0058	1000.0	1000.0	223999	188.15817	12.269932	224.00798	-80.54161	188.15558	12.265032	224.44017	-77.47546	-4.9354963	1.2078594	20.263296	-14.493108	-189.08134	2.196189	5.679876	7.8760643	10417.951595306396
57	721.28284	64.874756	824.64703	663.6451	786.2787	65.65658	842.7952	620.9442	1000.0	1000.0	227999	188.36774	12.374443	226.25864	-112.17852	188.36671	12.366613	225.30148	-49.22271	-4.930744	1.213985	22.758799	-14.547638	-189.29301	2.8171573	5.758309	8.575467	10623.774282217026
58	779.8914	78.99946	880.6273	671.9727	839.4979	117.88481	979.7309	546.4824	1000.0	1000.0	231999	188.5561	12.391172	228.61511	-102.067314	188.55762	12.384112	226.14696	-69.98701	-4.931829	1.2120134	23.853895	-12.910874	-189.47826	2.7062578	5.7768908	8.483149	10831.677225112915
59	793.1636	32.605785	830.0543	760.12805	829.1797	36.07624	910.318	786.77246	1000.0	1000.0	235999	188.8761	12.413159	227.15326	-48.87994	188.87402	12.4072485	226.15497	-142.34398	-4.9240403	1.2133923	17.147173	-12.8268585	-189.80363	2.4050293	5.7496805	8.15471	11037.962195158005
60	764.728	62.79124	829.50604	664.3021	878.85565	40.667366	937.0343	799.459	1000.0	1000.0	239999	189.18442	12.533874	229.46873	-112.07631	189.18246	12.521451	226.41594	-65.2199	-4.9102793	1.2269561	13.683572	-15.38871	-190.10866	2.2609556	5.7057	7.9666553	11245.596329927444
61	809.8053	22.264458	827.5029	772.9169	868.5553	53.25813	980.1453	783.4218	1000.0	1000.0	243999	189.61037	12.643316	227.17142	-127.932625	189.60918	12.625258	225.34795	-67.03464	-4.913709	1.2566463	22.571016	-12.060817	-190.53627	2.4570892	5.7549005	8.211989	11461.299818754196
62	748.5173	83.48395	846.4439	636.40454	820.16095	32.438732	855.0092	767.7182	1000.0	1000.0	247999	189.91756	12.754965	226.68495	-54.287605	189.9158	12.760013	226.01125	-109.15643	-4.9122367	1.2319379	20.435364	-12.366603	-190.8375	2.5943058	5.8548083	8.449113	11671.182218790054
63	819.7473	21.058874	844.1946	795.40125	811.2484	140.18556	932.4631	524.6455	1000.0	1000.0	251999	190.16562	12.930475	225.32407	-79.44235	190.16818	12.92261	225.72525	-78.462265	-4.902938	1.2262424	19.282759	-13.558937	-191.0906	3.4083219	5.965917	9.374238	11880.758885860443
64	737.3209	84.98846	825.17224	633.5244	682.6842	107.39488	866.4385	547.7175	1000.0	1000.0	255999	190.46094	12.940192	225.52397	-104.28543	190.4555	12.950581	226.0667	-101.42704	-4.899739	1.2032053	14.827283	-13.577747	-191.38206	2.5450182	5.846799	8.391817	12090.015323400497
