Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	32.797516	2.3695037	35.670982	30.160088	37.06168	14.208365	48.292248	4.7004557	1000.0	1000.0	3999	1.0908265	0.37856475	2.9406068	-0.8779172	-1.1703922	0.004280735	53.592602014541626
2	29.713457	1.1716001	31.072886	27.956268	34.4391	19.883888	48.961086	3.661748	1000.0	1000.0	7999	3.7393582	1.7754653	10.95548	0.6994793	-4.054776	0.014179332	122.27614259719849
3	43.95411	13.260873	64.3921	31.846375	28.060074	14.313928	42.109673	9.969624	1000.0	1000.0	11999	12.791862	4.3237863	23.181885	-0.69035673	-13.469673	0.07565819	190.34676551818848
4	30.600637	20.600243	51.902767	9.858008	33.883133	11.930581	49.729137	14.330653	1000.0	1000.0	15999	17.798925	1.7419606	25.840378	9.207424	-18.016129	0.0791053	262.57508873939514
5	28.498875	8.383532	37.90778	14.967768	43.914787	15.5413475	68.90462	27.20207	1000.0	1000.0	19999	19.864824	2.3495972	29.640413	8.832696	-20.218227	0.08030379	331.86103105545044
6	45.12442	22.366692	70.22182	12.546776	61.903282	8.3148575	74.052475	47.593445	1000.0	1000.0	23999	22.492973	2.5095818	29.469273	13.578936	-22.788609	0.06397872	399.53193640708923
7	48.995224	9.6423	60.94442	35.436325	57.276817	13.934507	82.058525	45.493355	1000.0	1000.0	27999	22.892452	2.4827719	30.564713	16.02671	-23.127977	0.04633461	470.7117347717285
8	88.82921	30.601273	130.0528	44.80214	88.71312	13.948552	113.74246	64.11037	1000.0	1000.0	31999	23.278667	1.1146482	29.140802	17.737192	-23.481476	0.055247713	540.2214963436127
9	92.94675	32.824196	141.56535	62.84565	139.90181	36.770348	178.56798	71.657455	1000.0	1000.0	35999	22.802975	0.9536153	30.397774	19.29246	-22.957859	0.042843252	611.7642664909363
10	122.54408	33.411793	145.61275	64.88893	118.92914	20.672935	149.11725	83.283325	1000.0	1000.0	39999	22.322355	1.6864716	34.447887	18.2193	-22.493433	0.050081268	681.1229295730591
11	81.584274	26.362432	106.31108	38.783714	58.560402	49.42976	156.36568	25.828962	1000.0	1000.0	43999	23.860083	2.2762017	36.930824	18.767645	-24.21696	0.085102566	750.9972050189972
12	124.59009	31.59397	167.3726	91.2238	138.57957	49.663544	189.17047	42.41327	1000.0	1000.0	47999	25.248405	1.6617572	38.83476	20.2185	-25.420094	0.07105891	822.9005420207977
13	122.904205	21.469057	149.46252	91.215485	36.365143	25.91697	97.935616	14.101161	1000.0	1000.0	51999	24.967262	2.6647122	40.328064	20.285261	-25.157646	0.094015546	895.373067855835
14	44.656292	18.51655	65.14041	15.748335	85.58152	52.84887	233.4561	44.691074	1000.0	1000.0	55999	26.181376	3.1581151	41.802094	20.229252	-26.512648	0.11088971	965.1422476768494
15	85.5221	23.272816	111.542366	48.24447	217.59485	22.970009	242.46426	177.17485	1000.0	1000.0	59999	27.451502	3.1125872	43.322197	22.163605	-27.66275	0.10519829	1036.1448020935059
16	151.33937	27.436203	184.52199	108.25898	160.92917	84.62052	250.3007	16.249853	1000.0	1000.0	63999	27.73296	4.0716805	47.60566	21.80812	-28.10819	0.15529859	1107.3600416183472
17	121.465004	65.46279	204.68977	30.1666	70.83934	41.120518	171.3692	14.416987	1000.0	1000.0	67999	31.514227	2.5058134	47.78984	21.994038	-31.807829	0.14537324	1179.7078349590302
18	178.14746	76.960594	260.23715	98.38867	263.78198	58.635212	325.39276	151.23799	1000.0	1000.0	71999	30.591263	3.13692	48.161304	25.300646	-30.785076	0.13658041	1254.5012743473053
