Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	0.0	0.0	0.0	0.0	5.4	14.256227	48.0	0.0	1000.0	1000.0	3999	0.045474716	0.055602465	0.2634502	-0.40818146	0.045475543	0.055742603	0.32805046	-0.45516828	-0.07013372	0.00016401458	0.00016401458	57.294310569763184
2	20.75	20.753012	42.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	0.16634926	0.26853508	6.715264	-0.092754975	0.16633713	0.26862496	6.7769194	-0.016850125	-0.17735612	0.0039269454	0.0039269454	131.88506937026978
3	0.0	0.0	0.0	0.0	0.4	0.8	2.0	0.0	1000.0	1000.0	11999	0.12541424	0.4693522	7.4683304	-2.5147827	0.1254266	0.46887556	7.5235386	-2.6108203	-0.1203424	0.00448376	0.00448376	207.12695574760437
4	1.0	1.7320508	4.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	15999	-0.051846202	0.864688	9.822279	-2.5434477	-0.05184977	0.8645667	9.662724	-2.427486	0.038130824	0.0056704166	0.0056704166	284.46825075149536
5	0.0	0.0	0.0	0.0	0.4	0.91651505	3.0	0.0	1000.0	1000.0	19999	0.4833004	1.2492616	9.107276	-2.1878023	0.4832432	1.2493047	9.418813	-2.1908529	-0.5321553	0.006157048	0.006157048	355.60928440093994
6	1.0	1.7320508	4.0	0.0	11.3	33.567993	112.0	0.0	1000.0	1000.0	23999	0.92563444	1.3844417	12.033609	-2.036725	0.92564416	1.3844805	11.863434	-2.0136979	-0.9608866	0.0067920275	0.0067920275	432.3060493469238
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	1.0643202	1.3015734	8.963829	-2.017284	1.0643283	1.3015018	9.00064	-2.0300608	-1.08213	0.006134672	0.006134672	504.1852946281433
8	0.75	1.299038	3.0	0.0	1.0	1.67332	5.0	0.0	1000.0	1000.0	31999	1.0481981	1.1214132	8.48153	-1.7756865	1.0481901	1.1213636	8.24901	-1.818212	-1.060384	0.0050786785	0.0050786785	574.6586139202118
9	1.0	1.7320508	4.0	0.0	1.8	2.8565712	7.0	0.0	1000.0	1000.0	35999	0.9790265	0.966558	8.791609	-1.7459048	0.9790365	0.9664525	8.534351	-1.6160064	-0.99217445	0.0053272257	0.0053272257	648.0644793510437
10	2.5	4.3301272	10.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	1.6808691	2.7120335	20.381989	-1.5398791	1.6809312	2.7118888	20.179277	-1.5823413	-1.8367298	0.018330017	0.018330017	724.8351366519928
