Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
24	6.5	6.538348	14.0	0.0	1.3	3.9	13.0	0.0	1000.0	1000.0	95999	0.12556441	1.0277044	10.992211	-0.8154986	0.12556244	1.0271366	10.631626	-0.901176	-0.1392381	0.014996407	0.014996407	2055.6257243156433
25	2.75	4.7631397	11.0	0.0	4.8	6.6	16.0	0.0	1000.0	1000.0	99999	0.12171378	1.095013	11.106034	-0.90930736	0.121739924	1.0948131	10.385778	-1.0524008	-0.13026144	0.014920044	0.014920044	2152.738844394684
26	0.0	0.0	0.0	0.0	2.8	4.354308	13.0	0.0	1000.0	1000.0	103999	0.12791488	1.1440983	10.666838	-0.93616843	0.12794836	1.1441046	10.25416	-0.9957739	-0.13868639	0.015059071	0.015059071	2251.249027490616
27	0.0	0.0	0.0	0.0	2.4	4.5431266	14.0	0.0	1000.0	1000.0	107999	0.13279898	1.1585277	10.892362	-1.0438728	0.13283536	1.1583213	10.537588	-1.0257113	-0.14537619	0.016928982	0.016928982	2349.4642338752747
28	3.25	4.5483513	11.0	0.0	5.3	6.277738	17.0	0.0	1000.0	1000.0	111999	0.14534728	1.2199069	12.653615	-1.1038399	0.14536455	1.2196406	12.054723	-1.1123997	-0.15905237	0.016084753	0.016084753	2448.091882944107
29	4.5	7.7942286	18.0	0.0	6.8	5.9966655	14.0	0.0	1000.0	1000.0	115999	0.15330462	1.245343	12.221794	-1.1029234	0.15329072	1.245238	11.665759	-1.0389599	-0.16429074	0.017322853	0.017322853	2546.4918603897095
30	2.0	2.1213202	5.0	0.0	7.0	6.9137545	19.0	0.0	1000.0	1000.0	119999	0.15882163	1.2841841	11.939647	-0.9931896	0.15882197	1.2840883	11.536035	-0.9856175	-0.16625205	0.015757872	0.015757872	2642.0767076015472
31	2.5	3.7749171	9.0	0.0	0.8	1.6613247	5.0	0.0	1000.0	1000.0	123999	0.13197577	1.2282062	12.732438	-1.0893756	0.13197027	1.2280205	11.800878	-1.0028129	-0.14334129	0.017763874	0.017763874	2740.783574819565
32	4.25	5.3091903	13.0	0.0	3.7	6.1	18.0	0.0	1000.0	1000.0	127999	0.12162662	1.1833507	12.441489	-1.0555836	0.121670336	1.1831046	13.346894	-1.0377786	-0.13146448	0.018064715	0.018064715	2840.5163991451263
33	2.25	3.8971143	9.0	0.0	5.0	6.387488	16.0	0.0	1000.0	1000.0	131999	0.115770176	1.1652043	12.570129	-0.94329214	0.115720935	1.1648339	12.187308	-0.92872584	-0.127578	0.016326707	0.016326707	2941.1055579185486
