Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	0.61957574	0.322648	1.4894208	0.27322108	1000.0	1000.0	3999	6.8625417	3.4561312	13.717145	-0.34030548	6.8607535	3.4560122	13.726688	-0.47302672	-4.046632	0.46552157	0.35898876	-11.08664	-7.6362915	0.076381035	1.516561	1.592942	125.1860499382019
2	3.7942524	1.0798535	5.415233	2.5482285	0.16426244	0.051257685	0.23937696	0.05597992	1000.0	1000.0	7999	20.190119	4.1652765	28.4953	12.107532	20.190098	4.163941	28.66479	12.10108	-4.043137	0.4720177	0.48471546	-9.021825	-20.934551	0.13490482	2.045927	2.1808317	287.3540370464325
3	7.2737484	4.8460684	13.936065	2.4252748	1.463723	1.3120648	4.8216805	0.0951387	1000.0	1000.0	11999	33.517925	3.5523105	44.65457	26.39512	33.51682	3.5521584	45.228054	26.453247	-4.0220914	0.5225019	4.193489	-10.687742	-34.243973	0.1877417	2.394308	2.5820496	452.55735206604004
4	8.419707	2.580979	12.443677	5.2493196	17.753386	6.609071	26.362785	5.171084	1000.0	1000.0	15999	44.62591	2.907769	52.751648	38.065327	44.625107	2.9085982	52.225098	38.14415	-4.05108	0.44103304	0.80962086	-10.090403	-45.33411	0.20669658	2.5044992	2.7111957	618.2164549827576
5	7.9247665	2.3344088	11.766645	5.581756	28.172852	3.7275457	32.22112	21.187626	1000.0	1000.0	19999	53.721485	2.4140754	61.333004	48.321125	53.71737	2.4114375	61.65239	48.259705	-4.0644355	0.413372	0.55478954	-10.162048	-54.427887	0.19392307	2.428644	2.6225674	784.3444061279297
6	7.7793884	3.1836872	12.940662	4.3816843	19.935207	0.9377499	21.22169	18.081648	1000.0	1000.0	23999	61.2289	1.9995073	68.39575	56.679653	61.2258	1.9962832	68.71537	56.515507	-4.065578	0.40485418	-0.5850544	-10.965266	-61.9398	0.17345373	2.2947693	2.4682229	950.6001029014587
7	10.087384	2.5917861	12.935878	6.546291	20.881474	1.1767362	22.908642	18.966238	1000.0	1000.0	27999	67.44406	1.6895236	74.83033	63.514828	67.44156	1.6874961	74.95562	63.474934	-4.0633636	0.41171396	0.44018126	-10.284181	-68.154884	0.16773748	2.2603102	2.4280474	1117.9679703712463
8	11.59962	3.5515091	16.210808	6.722048	18.601831	1.1678628	19.824589	15.323717	1000.0	1000.0	31999	72.59335	1.4289451	80.017	69.17851	72.59043	1.4279567	79.97701	68.83513	-4.0593395	0.4194455	0.16174507	-9.357045	-73.307175	0.16166845	2.220518	2.3821864	1284.8613257408142
9	15.941354	3.2220647	21.089304	12.655596	16.288383	6.436594	20.382828	0.8883644	1000.0	1000.0	35999	76.86066	1.2267225	83.87012	73.650764	76.85932	1.2289519	86.14556	73.60824	-4.0495696	0.44738942	1.352632	-11.154634	-77.576164	0.15880407	2.2053688	2.3641727	1453.6458868980408
10	19.786533	5.2783012	25.85173	14.062791	25.944698	1.8854599	29.747942	22.642998	1000.0	1000.0	39999	80.39407	1.0906363	86.845924	77.540146	80.3932	1.0910132	86.993546	77.633026	-4.0407186	0.46527854	-0.0944376	-10.28211	-81.11001	0.16116285	2.2193065	2.3804693	1623.051786184311
11	25.42093	6.2758546	35.62507	19.005106	24.47075	1.1197703	26.092691	22.576792	1000.0	1000.0	43999	83.34541	1.0298343	90.09414	80.58703	83.342186	1.0313505	89.77077	80.63544	-4.0261717	0.5016091	0.36921883	-9.165325	-84.06086	0.1674724	2.2643692	2.4318416	1793.9908699989319
12	21.911255	4.009683	28.061459	16.834658	31.633179	2.0005543	35.89673	28.43366	1000.0	1000.0	47999	85.78621	0.9386772	91.70261	83.28678	85.78358	0.9379381	91.44568	83.11036	-4.0180283	0.5152302	0.02579403	-9.676903	-86.49909	0.16596234	2.2551637	2.4211257	1964.9476337432861
13	30.80983	4.4232297	35.72282	25.459326	30.030506	1.283211	33.194813	28.840284	1000.0	1000.0	51999	87.80664	0.8717803	93.35865	85.40805	87.80298	0.87075263	93.606544	85.32103	-4.020248	0.5075957	0.33444166	-9.487013	-88.51749	0.16503116	2.2554276	2.4204588	2136.0436840057373
14	22.443619	6.6361146	29.360586	11.789583	40.80842	3.1641555	45.942398	34.739452	1000.0	1000.0	55999	89.45729	0.8351473	94.770546	87.214516	89.45366	0.8341441	94.74909	87.21989	-4.023535	0.50317603	-0.6650958	-10.562214	-90.16858	0.16795929	2.2704341	2.4383936	2308.1134803295135
15	24.306648	2.857441	26.953178	19.531605	28.920944	0.99056184	30.063557	26.850119	1000.0	1000.0	59999	90.8099	0.8045758	96.01128	88.54479	90.80949	0.8058937	95.92203	88.664665	-4.0200605	0.5099361	-0.19322109	-9.626089	-91.52027	0.16960302	2.2799034	2.4495063	2479.292104959488
16	24.652428	5.4630237	32.217648	19.29348	33.252975	2.3536742	36.480164	29.919405	1000.0	1000.0	63999	91.88996	0.7948441	97.17754	89.84089	91.88686	0.79258245	96.86936	89.89915	-4.018556	0.5129185	-0.58743	-10.35658	-92.599144	0.16778561	2.2665005	2.434286	2652.4507212638855
17	23.5117	4.4994736	30.604729	18.198204	23.866291	0.27398553	24.363724	23.513077	1000.0	1000.0	67999	92.76409	0.7888126	98.12269	90.63023	92.76395	0.7883706	97.79022	90.62196	-4.015329	0.51710975	-0.6172714	-9.231816	-93.47774	0.1633645	2.2371802	2.4005444	2828.4312562942505
18	28.905867	4.0060973	35.339287	24.485233	29.871857	1.2268188	32.558857	27.945644	1000.0	1000.0	71999	93.49584	0.8063472	98.97135	91.52921	93.4961	0.8075779	98.467575	91.20287	-4.011086	0.5241375	-0.7302017	-10.247411	-94.207985	0.16894071	2.2710087	2.4399493	3008.9052896499634
19	31.84927	3.048541	36.285175	27.70248	49.349255	2.417025	53.01487	46.115917	1000.0	1000.0	75999	94.11808	0.80603296	99.2121	92.08066	94.11886	0.80667144	99.604416	92.025536	-4.007627	0.5313275	-0.3893547	-9.6229105	-94.82898	0.16815762	2.2617114	2.4298692	3195.857263803482
20	22.963171	4.8309655	26.88867	14.8491	43.276028	3.16539	47.673466	36.79694	1000.0	1000.0	79999	94.63042	0.81057775	99.397865	92.49023	94.63083	0.8120438	99.63844	92.60064	-4.0036945	0.54049325	-0.39846134	-9.599569	-95.3419	0.16601197	2.2492135	2.4152253	3387.1031081676483
21	28.581736	3.530684	34.175957	24.902065	31.435947	1.6538515	34.483337	28.32984	1000.0	1000.0	83999	95.01952	0.81601274	100.00683	92.78283	95.01741	0.8147548	99.79245	93.021225	-4.003694	0.5411137	-0.37734413	-9.315371	-95.732765	0.16619267	2.2492242	2.415417	3578.3432433605194
22	36.209404	3.4500668	39.842773	30.816854	29.17709	1.0422863	30.778025	27.724646	1000.0	1000.0	87999	95.36704	0.8499092	101.67342	92.98292	95.36597	0.84996307	101.912254	93.301384	-3.995949	0.55550367	0.18019104	-11.302457	-96.08137	0.16703764	2.253633	2.420671	3771.0809123516083
23	43.091927	14.081319	65.352356	29.574818	46.996597	2.0559266	51.632607	44.39738	1000.0	1000.0	91999	95.70808	0.900036	102.35769	93.40656	95.70513	0.89866394	102.16802	93.412926	-3.9824884	0.5813855	0.11069107	-9.95373	-96.41983	0.17749734	2.3123238	2.4898212	3963.501676797867
24	37.047104	7.5172086	46.876522	28.434292	64.86717	5.561454	72.826836	53.382683	1000.0	1000.0	95999	96.01909	0.94894004	102.33972	93.923515	96.01875	0.94935685	102.39806	93.694786	-3.9731593	0.5972982	0.012565613	-10.812513	-96.73202	0.17726737	2.3057852	2.4830523	4158.67057800293
25	48.910984	3.0451412	51.30873	43.72875	84.70365	5.940028	94.45787	75.1388	1000.0	1000.0	99999	96.27675	0.9876213	102.85615	93.96794	96.2749	0.987001	102.851616	93.97995	-3.9695528	0.6036052	0.059295177	-10.816052	-96.98943	0.17856619	2.309248	2.4878144	4351.985498428345
26	57.219994	6.410329	66.55252	50.9207	98.3211	21.484974	121.81177	40.15551	1000.0	1000.0	103999	96.51415	1.0290405	102.844025	94.238235	96.51626	1.0298909	102.878555	94.20544	-3.9599078	0.62398523	0.6159053	-9.75966	-97.228516	0.17926605	2.3112848	2.4905508	4546.967289924622
27	58.384857	10.513251	76.52771	50.878338	83.71965	4.3081946	91.50228	76.6304	1000.0	1000.0	107999	96.70306	1.0888004	103.79709	94.355675	96.70154	1.0888089	104.492516	94.44182	-3.9581573	0.6216213	0.629776	-11.08766	-97.41658	0.17870474	2.304963	2.4836676	4741.819642305374
28	66.91642	9.229227	72.94634	50.94947	115.1543	29.046074	151.69676	67.28749	1000.0	1000.0	111999	96.90711	1.1818569	105.42509	94.185905	96.90623	1.1826377	105.46554	94.13325	-3.9428744	0.64813644	0.5506954	-11.114092	-97.61796	0.18819518	2.3616984	2.5498936	4938.217417955399
29	70.21906	13.895897	86.136734	47.939045	136.71172	13.525943	155.89699	113.35601	1000.0	1000.0	115999	97.11048	1.2567893	105.42046	94.43325	97.11266	1.257802	105.46312	94.25165	-3.9338713	0.6636409	1.1419139	-11.89908	-97.82455	0.18927975	2.3586607	2.5479405	5135.5104558467865
30	73.89284	10.071358	85.81167	60.08152	136.84799	10.10218	150.65184	118.21558	1000.0	1000.0	119999	97.33095	1.3532752	106.22969	92.63833	97.33038	1.3533574	106.5507	92.38972	-3.9071534	0.7049959	1.358592	-11.787845	-98.04589	0.19729407	2.3974004	2.5946944	5334.4233481884
31	76.56938	6.2837634	85.96173	68.255135	184.2607	16.713446	214.6497	157.42148	1000.0	1000.0	123999	97.5675	1.4442232	106.388824	92.34956	97.56742	1.4444396	106.639854	92.55256	-3.8919737	0.7281185	0.8798933	-10.26909	-98.28006	0.20427279	2.4344451	2.638718	5532.929004669189
32	83.8887	9.47273	100.12688	76.27329	144.96062	12.421598	165.37871	126.01193	1000.0	1000.0	127999	97.81526	1.4821217	106.44166	92.66085	97.81849	1.4819673	106.67911	92.572334	-3.8849645	0.73373455	1.5126534	-11.178597	-98.5299	0.20674612	2.4406414	2.6473875	5731.313794136047
33	83.008606	5.731206	92.1611	77.94286	138.88339	6.84234	146.07295	124.66493	1000.0	1000.0	131999	97.98854	1.5493298	107.45367	92.40154	97.98894	1.5487727	107.35145	92.44417	-3.8943524	0.7243001	1.0463939	-9.856012	-98.69695	0.20913163	2.4462957	2.6554272	5930.546313524246
34	85.8287	7.2443066	91.82734	73.45803	174.90852	11.109547	188.52808	150.85178	1000.0	1000.0	135999	98.13686	1.6400169	108.034096	92.15478	98.13512	1.639382	107.9391	92.54804	-3.8883903	0.7298254	0.93721485	-10.232273	-98.8457	0.20599885	2.437295	2.6432936	6128.537875890732
35	91.79752	15.419983	115.0743	73.03336	171.49503	3.903072	175.5671	163.68437	1000.0	1000.0	139999	98.27529	1.7217077	107.850296	91.255585	98.27535	1.7218564	107.90273	91.607086	-3.86522	0.7627297	1.355104	-10.56094	-98.98244	0.21549185	2.4767196	2.6922119	6327.045701980591
36	78.183426	16.371187	93.704605	50.736694	110.21549	52.291645	164.7631	31.472023	1000.0	1000.0	143999	98.4048	1.8083682	107.79906	88.917854	98.40461	1.8074218	108.39591	89.01722	-3.8704135	0.75296015	1.2454138	-11.411309	-99.11139	0.21493028	2.4686418	2.6835723	6526.293889760971
