Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
33	0.5	0.8660254	2.0	0.0	12.7	36.122158	121.0	0.0	1000.0	1000.0	131999	0.29370755	0.16130918	5.827682	0.1830687	-0.29302087	0.00612448	2500.9578783512115
34	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	135999	0.32619706	0.19833428	6.5811076	0.24419975	-0.325883	0.006778258	2585.505833864212
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	0.33845392	0.16886865	6.422966	0.31186926	-0.33745626	0.0061373715	2670.0440289974213
36	27.25	47.198383	109.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	143999	0.35516733	0.16641383	6.2745953	0.3230726	-0.35455915	0.0074630496	2756.293839454651
37	0.0	0.0	0.0	0.0	29.3	46.84453	117.0	0.0	1000.0	1000.0	147999	0.38286406	0.230065	6.6073575	0.29372096	-0.3832041	0.008852216	2841.659367799759
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	0.40258524	0.29072127	7.6782627	0.35745066	-0.402457	0.0096417805	2925.9699199199677
39	0.25	0.4330127	1.0	0.0	22.4	44.90924	119.0	0.0	1000.0	1000.0	155999	0.4019112	0.3218115	6.908886	0.30774733	-0.40138838	0.011208898	3013.734071493149
40	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	0.39399645	0.344301	7.1327214	0.32582337	-0.3932428	0.01237615	3100.2012395858765
41	0.0	0.0	0.0	0.0	5.4	16.199999	54.0	0.0	1000.0	1000.0	163999	0.40110093	0.41931084	8.0826	0.30564865	-0.40111783	0.014517186	3187.0640711784363
42	2.25	2.2776084	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	0.4091753	0.4796654	8.800759	0.31453738	-0.4097306	0.01610044	3275.9556012153625
43	0.75	1.299038	3.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	0.4167032	0.5336777	9.09128	0.29240462	-0.41765726	0.018117117	3364.693571329117
44	0.0	0.0	0.0	0.0	3.9	10.143471	34.0	0.0	1000.0	1000.0	175999	0.4361372	0.6096431	9.597218	0.30613768	-0.43868512	0.019146182	3453.5898406505585
45	0.0	0.0	0.0	0.0	0.6	1.4966631	5.0	0.0	1000.0	1000.0	179999	0.5268228	0.926599	13.481535	0.2606442	-0.5387524	0.025628658	3542.249261856079
46	0.0	0.0	0.0	0.0	14.0	39.69131	133.0	0.0	1000.0	1000.0	183999	0.7679276	1.5565022	16.282413	0.31608447	-0.78112775	0.03450147	3627.729406118393
47	31.25	54.126587	125.0	0.0	1.2	3.6000001	12.0	0.0	1000.0	1000.0	187999	0.7709802	1.3808213	15.0477495	0.23981942	-0.7662654	0.033340506	3713.265784740448
48	0.25	0.4330127	1.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	191999	0.67250055	1.0835434	10.290178	0.3026007	-0.67345023	0.031432044	3802.0764186382294
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	195999	0.7370437	1.178294	10.2703705	0.30055243	-0.74487025	0.03183348	3887.9807341098785
50	1.0	1.7320508	4.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	199999	0.9024304	1.3807887	10.657636	0.29961693	-0.91547716	0.031843707	3972.578790664673
51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	203999	1.0919379	1.6814528	12.027701	0.23932602	-1.1048757	0.0326715	4057.806233406067
52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	207999	1.215735	1.8207891	13.725698	0.29850847	-1.2291332	0.03192154	4146.712302684784
53	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	211999	1.1452367	1.5836377	10.396215	0.30555752	-1.1352519	0.031708725	4235.109006404877
54	1.0	1.7320508	4.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	215999	0.8519522	1.1804911	11.136589	0.3118965	-0.8519993	0.025764395	4323.488790273666
55	0.75	1.299038	3.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	219999	0.7845167	1.061605	9.673404	0.30296865	-0.7847572	0.02077923	4412.054409503937
56	21.0	36.373066	84.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	223999	0.7271425	1.0074571	7.589753	0.28660142	-0.7272407	0.019275114	4500.54891371727
57	0.0	0.0	0.0	0.0	0.2	0.59999996	2.0	0.0	1000.0	1000.0	227999	0.6823221	0.9905875	7.626979	0.28081226	-0.68224746	0.01983467	4586.275228500366
58	0.0	0.0	0.0	0.0	6.5	18.205769	61.0	0.0	1000.0	1000.0	231999	0.63490915	0.95986205	7.640318	0.27273497	-0.63434106	0.020188807	4670.677927494049
59	0.0	0.0	0.0	0.0	1.1	1.7	4.0	0.0	1000.0	1000.0	235999	0.581671	0.9082076	7.872729	0.271191	-0.58074814	0.020153206	4754.903689146042
60	0.5	0.8660254	2.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	239999	0.53860575	0.87377286	8.358784	0.27082667	-0.53816164	0.021437677	4840.490897655487
61	0.0	0.0	0.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	243999	0.5005937	0.81643015	8.578579	0.27085844	-0.49952075	0.023173787	4925.082236528397
62	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	247999	0.45964354	0.73750234	8.710797	0.22676066	-0.4584033	0.022005068	5010.721127510071
63	0.0	0.0	0.0	0.0	0.5	1.2041595	4.0	0.0	1000.0	1000.0	251999	0.42025876	0.6687041	10.329392	0.23289464	-0.41884544	0.022285525	5099.759460449219
64	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	255999	0.37048236	0.5390918	9.762401	0.26991683	-0.3691687	0.02046616	5186.741284608841
65	0.0	0.0	0.0	0.0	13.1	37.985394	127.0	0.0	1000.0	1000.0	259999	0.33021116	0.40058616	9.202861	0.254603	-0.32955143	0.014460864	5271.333789348602
66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	263999	0.31392258	0.34111494	8.8147745	0.2705009	-0.31317022	0.012641347	5356.133668422699
67	1.0	1.7320508	4.0	0.0	11.8	34.411625	115.0	0.0	1000.0	1000.0	267999	0.30019125	0.27993998	9.64226	0.2571316	-0.29954803	0.009807114	5441.893162488937
68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	271999	0.2960279	0.24278684	8.562881	0.22350581	-0.2955795	0.0088484	5530.698446989059
69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	275999	0.2943689	0.2327015	8.332231	0.26014438	-0.29381642	0.008663597	5619.459459066391
70	29.0	47.947887	112.0	0.0	1.3	2.0024984	5.0	0.0	1000.0	1000.0	279999	0.29383945	0.21114925	8.042939	0.2522629	-0.29332465	0.008425505	5706.271477937698
71	0.5	0.8660254	2.0	0.0	11.2	33.600002	112.0	0.0	1000.0	1000.0	283999	0.29947636	0.19876671	7.4833145	0.27092832	-0.29908907	0.008133065	5790.792255163193
72	0.0	0.0	0.0	0.0	9.0	25.3535	85.0	0.0	1000.0	1000.0	287999	0.3063752	0.22514734	7.9563556	0.22222365	-0.30580318	0.009280616	5877.844281673431
