Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	17.133772	3.4150405	30.430983	9.643361	89.11015	37.41133	152.8098	35.579712	14.788889	93.5	3999	11.488301	7.14797	26.74316	-2.4986293	11.488105	7.148739	26.809076	-2.7807617	-2.7207618	1.7738036	10.323509	-12.145874	-12.775773	0.41361964	0.41361964	95.74792623519897
2	17.163675	3.8318908	32.972504	10.927335	88.16103	89.38401	352.7329	44.232414	14.698529	187.1	7999	27.094984	12.482196	48.88265	-8.366951	27.094542	12.482064	48.878117	-4.9561753	-1.8670121	2.8250437	17.102095	-17.09125	-29.465534	0.8893059	0.8893059	225.4494025707245
3	24.644344	21.456333	148.89912	11.490303	76.32738	14.836167	114.06798	61.390556	24.04878	65.6	11999	43.76117	18.59656	71.55524	-11.019989	43.761265	18.593754	71.426025	-7.407937	-0.597136	3.6168623	21.656385	-15.688186	-47.497375	3.9867768	3.9867768	353.55079197883606
4	70.517784	21.622473	108.98219	20.001743	99.15712	30.204355	144.50572	29.820753	81.87755	81.4	15999	56.482285	21.351185	83.70205	-16.75297	56.480846	21.35173	80.66867	-20.265049	-0.90541327	3.8006012	25.329683	-12.027056	-59.925392	5.912373	5.912373	484.6734142303467
5	70.23643	18.574995	102.682396	23.04666	75.89825	19.828632	97.07388	39.419235	72.61818	95.7	19999	60.504246	25.577286	91.44031	-28.881943	60.502254	25.582666	88.7654	-25.573948	-0.84697974	3.6207714	25.322048	-12.836536	-63.624622	5.741259	5.741259	616.1498923301697
6	99.4801	38.195477	258.42664	29.290045	332.18417	299.13037	708.28485	37.312363	99.0	433.1	23999	62.774536	27.934093	95.29228	-20.935728	62.77185	27.940628	92.91285	-23.245867	-1.0057476	3.6174636	28.061077	-12.407921	-65.61579	6.684137	6.684137	753.9239075183868
7	101.043434	45.283848	230.83466	18.57272	194.5755	96.56294	352.76492	26.832808	121.625	207.1	27999	63.17796	28.777212	100.64023	-17.838419	63.17549	28.7835	98.49635	-18.11838	-0.94068056	3.479833	27.107485	-13.628448	-65.71531	8.022874	8.022874	886.6476013660431
8	121.7869	57.37869	295.28506	39.119095	515.12415	284.73965	797.00366	141.94194	163.08	630.2	31999	65.24104	28.940638	104.45134	-20.588814	65.23962	28.943998	107.20777	-17.407757	-1.006878	3.396178	29.405138	-16.834274	-67.58766	9.553433	9.553433	1030.4174482822418
9	122.29146	88.04348	373.32605	25.247267	532.7983	373.87378	883.3015	21.451914	159.91304	671.4	35999	66.47968	29.761488	100.297966	-17.657501	66.47793	29.76666	103.95375	-19.514858	-0.9887823	3.2842717	35.397614	-15.86825	-68.58795	10.517203	10.517203	1173.9896154403687
10	206.56915	181.42049	640.75336	12.745968	214.15433	105.23087	390.4228	124.03706	263.125	229.9	39999	67.27606	30.58201	100.258316	-21.43068	67.27363	30.589529	103.99257	-23.934727	-0.9068783	3.2112818	30.775902	-12.53452	-69.22008	11.119092	11.119092	1307.0933656692505
11	283.79388	250.48146	973.5566	74.771164	818.895	316.98776	1085.9385	227.1568	330.45456	804.9	43999	68.71804	30.663616	102.55718	-21.40651	68.71651	30.669134	102.755165	-20.07899	-0.76516557	3.2346776	33.077805	-13.984385	-70.55823	12.132362	12.132362	1458.3710913658142
12	335.27005	141.44615	528.5977	90.36014	435.438	316.133	898.59064	93.44892	462.44446	554.0	47999	70.410385	30.579435	106.772575	-21.156376	70.41009	30.582262	107.919914	-19.00865	-0.69328964	3.28209	36.386414	-13.258057	-72.153046	12.603029	12.603029	1606.9710006713867
13	600.37714	274.42746	1002.3705	256.89603	570.7509	242.38597	825.6852	209.93764	702.0	726.2	51999	72.58506	29.905918	109.307	-20.487745	72.58461	29.909586	107.07609	-21.551266	-0.7498125	3.2701962	35.851166	-14.731203	-74.24585	12.999588	12.999588	1764.5677988529205
