Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	837.3509	26.960815	869.87744	803.1391	846.18964	25.63445	880.9893	806.37524	1000.0	1000.0	127999	86.14462	9.731632	110.49369	59.85676	-86.75678	1.9287505	2317.153057575226
33	808.48895	51.6564	892.3981	751.6943	784.8776	37.81261	865.52277	740.15515	1000.0	1000.0	131999	88.51854	9.603088	116.392784	61.042393	-89.13352	1.9056021	2394.0926237106323
34	829.078	36.015198	868.46094	790.3849	843.616	45.74245	916.0179	749.33813	1000.0	1000.0	135999	90.66847	9.408172	112.43133	63.229145	-91.251236	1.8121691	2472.0091636180878
35	863.3586	27.50197	904.9591	831.6033	734.1483	209.35797	848.51404	112.41556	1000.0	1000.0	139999	91.91037	9.521006	112.49479	65.662094	-92.47168	1.767529	2549.9400498867035
36	725.966	180.83134	943.9089	442.6077	845.16296	54.36005	923.67865	755.6527	1000.0	1000.0	143999	92.91469	9.549841	114.53935	65.17051	-93.45751	1.7151936	2629.3360419273376
37	839.7803	22.003668	874.6793	814.927	914.8224	31.310812	962.1178	872.9856	1000.0	1000.0	147999	93.61509	9.5906315	113.08566	67.78019	-94.147865	1.6995753	2704.710084438324
38	873.4227	35.59277	927.3033	827.43835	878.9873	68.9496	971.9293	759.6912	1000.0	1000.0	151999	94.06227	9.95813	115.00895	65.404236	-94.56481	1.6823618	2783.248862028122
39	945.4043	32.91073	982.2491	893.9828	893.9252	42.093437	946.7524	811.6543	1000.0	1000.0	155999	94.6235	10.06662	114.71492	64.10724	-95.14729	1.6931845	2860.9761016368866
40	774.531	200.22945	909.7705	428.36685	867.51874	31.171703	915.86487	823.0275	1000.0	1000.0	159999	95.23362	9.968557	114.83284	66.31114	-95.724236	1.5905561	2938.2366502285004
41	875.6259	23.426504	896.6687	835.9554	884.15234	85.09027	944.4046	646.81744	1000.0	1000.0	163999	95.30486	10.310569	115.29027	66.97647	-95.78217	1.5702103	3013.7995507717133
42	678.255	347.63916	897.87634	76.47707	880.31165	37.51476	929.10345	813.4602	1000.0	1000.0	167999	96.0014	9.984447	114.40464	68.45209	-96.50665	1.5548921	3089.155723810196
43	891.87634	15.95087	911.8324	874.6412	847.203	41.51267	926.2771	778.9592	1000.0	1000.0	171999	96.21516	10.036933	114.36642	67.63208	-96.68333	1.5028923	3164.6914825439453
