Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	3.0250044	1.5737348	4.62022	1.3697661	5.514893	0.5260359	6.63748	4.848084	1000.0	1000.0	3999	-0.028088184	0.059493158	0.38690144	-0.827609	-0.028140085	0.059365723	0.39690194	-0.510575	-0.006555181	0.0006831686	0.0006831686	56.12137150764465
2	3.7942524	1.0798535	5.415233	2.5482285	6.1898565	0.43883395	6.617037	5.0185447	1000.0	1000.0	7999	0.34320372	0.21495786	1.4830599	-0.047656845	0.34320274	0.21497215	1.5239394	-0.055274658	-0.42906946	0.00066250976	0.00066250976	123.78218340873718
3	5.841851	4.311619	13.126682	2.4252748	3.0636494	0.90565515	5.332674	2.0356815	1000.0	1000.0	11999	1.264747	0.4251765	3.3008933	0.2849282	1.2647266	0.42524248	3.3263621	0.28831443	-1.4307295	0.0030664178	0.0030664178	197.57980608940125
4	10.095815	13.31902	33.10521	1.0528861	15.239636	1.4576888	17.062548	11.575543	1000.0	1000.0	15999	2.1343238	0.45220256	4.770646	0.29004082	2.1343067	0.45221785	4.7770004	0.36076543	-2.2703772	0.0048239464	0.0048239464	272.778920173645
5	31.586039	5.1193204	38.613106	24.525763	15.154045	3.2866337	20.507421	9.692805	1000.0	1000.0	19999	3.11885	0.6654688	7.5876293	1.1179434	3.118851	0.6654191	7.560602	1.1518056	-3.34796	0.011275086	0.011275086	346.9017996788025
6	21.031939	11.737948	33.15521	1.9176714	8.354363	0.3709774	9.127304	7.8812265	1000.0	1000.0	23999	4.236915	0.8122051	8.851109	1.5412409	4.2368793	0.8121458	8.680024	1.4929943	-4.420008	0.019412123	0.019412123	425.1371841430664
7	10.258366	2.9006014	13.502354	6.3674326	25.805218	6.1645265	38.639065	14.506455	1000.0	1000.0	27999	5.167624	0.91887915	9.059574	1.7274499	5.167599	0.9188431	9.180076	1.8198795	-5.3613977	0.017667538	0.017667538	503.14433908462524
8	23.308609	4.842096	28.792547	15.635395	25.428432	14.198662	59.08427	5.4335804	1000.0	1000.0	31999	5.4745736	1.0617114	9.362766	1.7663994	5.474567	1.0616775	9.262105	1.7821162	-5.62875	0.017448075	0.017448075	578.8953137397766
9	17.8275	9.57966	27.707577	2.9676194	47.548744	21.10452	86.843376	27.000143	1000.0	1000.0	35999	5.964127	1.2052974	12.820345	2.084973	5.9641223	1.2052962	12.976269	2.1572971	-6.1694794	0.012766218	0.012766218	658.4132881164551
10	26.877481	11.783126	44.144417	13.0857315	36.521862	11.735925	62.926933	22.251411	1000.0	1000.0	39999	6.4221883	1.4664325	13.907921	1.0826662	6.4221706	1.4664677	13.792314	1.0431757	-6.624839	0.021787418	0.021787418	737.8575885295868
