Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	32.797516	2.3695037	35.670982	30.160088	22.874115	12.537298	57.111366	9.474229	1000.0	1000.0	3999	5.8759737	3.0805411	12.755701	-1.2452048	5.8765335	3.0793796	12.706888	-0.94023556	-4.0815935	0.35939562	9.997913	-9.593074	-6.6568165	0.046530314	0.046530314	116.39724469184875
2	29.713457	1.1716001	31.072886	27.956268	26.570179	10.247586	55.678856	21.44795	1000.0	1000.0	7999	17.41509	3.5434282	27.27942	6.3824124	17.415138	3.5432637	27.301188	6.321257	-4.0711503	0.38360792	-0.6992092	-11.632385	-18.172916	0.0884505	0.0884505	266.38315510749817
3	27.360575	6.9821296	32.564106	15.414509	21.569576	13.068393	44.41546	9.188029	1000.0	1000.0	11999	27.036438	4.433752	36.738358	6.955398	27.03639	4.4335504	36.59124	6.6340895	-3.966176	0.64049155	3.8192167	-10.130664	-27.78086	0.16130345	0.16130345	418.23054218292236
4	37.102844	4.896219	45.31772	32.385628	19.220724	4.0321293	23.963812	13.987063	1000.0	1000.0	15999	35.637123	4.1906223	43.71282	17.03844	35.637234	4.1899176	43.837955	17.316376	-4.031284	0.476777	1.1654186	-10.39524	-36.362194	0.17191681	0.17191681	572.4775590896606
5	34.14174	2.770387	38.300526	31.526093	20.189976	9.448299	34.562916	9.510864	1000.0	1000.0	19999	42.682747	4.007826	50.271656	27.0857	42.68287	4.0071206	49.93437	27.086998	-4.025891	0.48493263	0.8010216	-9.679647	-43.40328	0.17225681	0.17225681	724.1354892253876
6	39.719604	6.0666556	47.35935	33.235912	24.91027	5.4189816	40.85026	22.037518	1000.0	1000.0	23999	48.687946	3.6117773	55.216965	35.5192	48.68793	3.6114368	55.427425	35.711456	-4.035843	0.46149668	0.8113222	-11.609305	-49.40713	0.16838473	0.16838473	876.8903591632843
7	38.936813	4.367886	43.823914	33.25618	23.111979	0.59314835	24.159748	22.469872	1000.0	1000.0	27999	53.781044	3.2282553	59.67476	41.91933	53.78105	3.2278953	59.671192	42.086838	-4.0429583	0.44607565	0.5252037	-12.133083	-54.501637	0.15881072	0.15881072	1030.8970093727112
8	39.502388	9.5211315	55.56478	31.252861	23.219027	1.2082951	25.544485	21.491037	1000.0	1000.0	31999	58.124615	2.8571942	63.425335	47.79261	58.124615	2.8568175	63.542778	47.76351	-4.0501366	0.43108836	0.57998085	-10.536288	-58.84524	0.15513912	0.15513912	1184.9302351474762
9	36.89193	4.4816403	43.203297	32.555958	23.354427	0.9692477	24.931545	21.880026	1000.0	1000.0	35999	61.778477	2.4287605	66.831985	52.91295	61.778477	2.4287465	66.89704	52.777214	-4.0501904	0.43018866	1.9832096	-9.631578	-62.500385	0.14804912	0.14804912	1337.7490673065186
10	34.291378	4.3449683	40.026817	28.811499	23.414558	3.7604625	32.74843	16.713585	1000.0	1000.0	39999	64.8534	2.0773027	69.07491	56.670208	64.85341	2.0780342	68.99459	56.015076	-4.051284	0.42579767	1.1214542	-10.321046	-65.57513	0.14621705	0.14621705	1491.7010457515717
