Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
1	0.0	0.0	0.0	0.0	5.9	14.76787	50.0	0.0	1000.0	1000.0	3999	-0.04489426	0.046703756	0.15479316	-0.36381957	-0.044927612	0.04726276	0.27016416	-0.5848708	0.029130233	0.00017945348	0.00017945348	42.05505561828613
2	20.75	20.753012	42.0	0.0	0.6	1.1999999	3.0	0.0	1000.0	1000.0	7999	0.08174184	0.3207843	7.0943933	-0.24489845	0.08167964	0.32002625	7.0342703	-0.25496185	-0.09882071	0.0039257696	0.0039257696	94.33231663703918
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	0.16063775	0.51807195	9.652415	-0.8134358	0.16062318	0.5169501	9.799765	-0.9181612	-0.17767774	0.006653443	0.006653443	150.2890875339508
4	0.0	0.0	0.0	0.0	0.5	1.2041595	4.0	0.0	1000.0	1000.0	15999	1.9145491	4.2369423	19.7402	-0.83672374	1.9145925	4.2368765	20.555374	-0.8537699	-2.0308573	0.023621297	0.023621297	207.65039777755737
5	2.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	5.031207	5.77122	20.74109	-0.87948513	5.031311	5.7714906	21.50266	-0.97680116	-5.235958	0.042258836	0.042258836	265.2104127407074
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	7.1324196	5.7545767	24.253874	-1.7432389	7.1323957	5.7548666	23.680988	-1.3402642	-7.3221416	0.047595035	0.047595035	322.79919934272766
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	7.850865	5.1938834	24.303898	-1.4575113	7.8508263	5.1940646	24.720516	-1.4178207	-7.981282	0.032269906	0.032269906	381.0155806541443
8	1.25	2.1650636	5.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	9.752948	6.4438133	32.16187	-1.5849417	9.75285	6.443866	32.259674	-1.4617796	-10.159212	0.044438213	0.044438213	440.6483197212219
9	1.25	2.1650636	5.0	0.0	0.6	1.8000001	6.0	0.0	1000.0	1000.0	35999	11.590234	7.41191	35.19181	-1.4942663	11.590165	7.41208	34.901844	-1.4932876	-11.8794985	0.04749391	0.04749391	503.62201619148254
10	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	12.033652	7.4424343	34.550484	-1.2205013	12.033534	7.442729	34.675064	-1.3093098	-12.2436695	0.04212236	0.04212236	568.2934188842773
11	20.25	35.074028	81.0	0.0	88.2	263.26938	878.0	0.0	1000.0	1000.0	43999	12.226378	7.4093285	33.119644	-1.2517599	12.226216	7.4097123	32.87024	-1.261778	-12.418424	0.04144363	0.04144363	633.1477589607239
12	79.75	135.83147	315.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	47999	12.677237	7.2209578	31.668465	-1.068106	12.677165	7.2211876	31.420343	-1.148932	-12.873103	0.053175475	0.053175475	697.7618355751038
