Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	-1351.4697	102.82748	-1183.1415	-1435.2623	-1449.673	39.096222	-1426.912	-1565.7682	1000.0	1000.0	3999	0.023300469	5.5332723	53.686367	-12.981305	0.023478828	5.5341077	54.635334	-12.820101	-0.5931596	3.2148485	17.640553	-13.736763	-2.043903	1.288756	1.288756	54.161123752593994
2	-1252.4982	141.5304	-1110.5063	-1428.0576	-1504.6919	51.684113	-1427.8795	-1572.3063	1000.0	1000.0	7999	56.25507	39.46567	235.44423	-10.168733	56.252506	39.46435	235.54388	-11.22577	6.4488363	4.684096	39.20997	-11.162901	-64.32565	15.663664	15.663664	177.69589948654175
3	-1182.1368	224.59377	-820.1476	-1435.0159	-1202.2305	180.02263	-973.8786	-1553.4238	1000.0	1000.0	11999	192.58505	51.05194	404.0646	59.192486	192.58385	51.054035	403.79666	63.00537	8.801713	5.164929	50.67753	-12.4905405	-202.79419	33.892246	33.892246	305.4158260822296
4	-1418.6255	65.9904	-1304.5227	-1459.9794	-1465.7458	18.497015	-1443.6666	-1492.9059	1000.0	1000.0	15999	250.2376	21.85417	373.63147	63.303112	250.23752	21.856365	373.88086	56.460125	2.43879	4.056963	40.632988	-15.904845	-252.546	18.363625	18.363625	437.1893527507782
5	-1378.6553	22.499044	-1346.4081	-1401.0013	-1357.7933	45.736492	-1272.3212	-1437.0605	1000.0	1000.0	19999	214.1722	16.316153	353.16858	123.82114	214.17188	16.317038	351.41977	123.0122	0.65327936	3.4900095	31.653845	-14.435198	-215.7295	6.796706	6.796706	568.7555651664734
6	-773.4256	209.36963	-543.0696	-1046.1117	79.51249	290.47955	541.38434	-200.44487	1000.0	1000.0	23999	182.63876	14.408642	346.58844	132.85744	182.63898	14.410002	346.28854	135.32388	-0.12421031	2.6480913	22.980038	-13.730705	-183.89667	5.209261	5.209261	696.8494346141815
7	-469.09583	394.82587	-69.171005	-1107.1393	-1160.2118	200.40125	-954.87134	-1437.9205	1000.0	1000.0	27999	150.60397	14.068328	288.85638	108.43721	150.60402	14.068362	289.4735	107.59586	-0.4239082	2.51884	22.769375	-18.878712	-151.81874	4.4661703	4.4661703	825.8571014404297
8	-208.79721	295.93048	285.05545	-502.33154	-519.0139	814.27094	779.7649	-1129.6927	1000.0	1000.0	31999	127.2555	14.652695	238.19722	81.452995	127.25548	14.651557	237.82138	81.44213	-0.27291262	2.3661432	24.255367	-15.4727	-128.48206	4.498287	4.498287	954.1265954971313
9	552.2821	55.985836	623.81177	487.80646	628.93665	52.408306	681.8207	531.777	1000.0	1000.0	35999	109.95374	14.372958	207.35646	65.68431	109.95379	14.371053	205.51941	65.74673	-0.03890997	2.4221747	16.068312	-14.116466	-111.23386	4.271753	4.271753	1081.9219236373901
10	591.09064	26.648008	631.25446	563.69977	557.6227	14.827857	587.3418	535.0872	1000.0	1000.0	39999	99.7961	13.352487	174.58926	57.765125	99.79597	13.35155	177.83073	57.08951	0.11412545	2.5215495	19.5144	-13.144389	-101.1369	3.5378995	3.5378995	1210.5054867267609
11	588.6482	31.935764	639.7549	558.73663	553.80615	45.93924	666.1251	508.5719	1000.0	1000.0	43999	93.97425	12.860292	154.0032	50.98134	93.9742	12.858641	152.69963	50.514137	-0.1409615	2.5550742	19.034815	-16.491058	-95.2079	3.048979	3.048979	1339.2775847911835
12	547.5856	25.403587	574.77893	507.54257	649.3167	52.325253	700.3942	575.0605	1000.0	1000.0	47999	90.2927	12.847029	146.15833	48.958035	90.29273	12.8452015	144.45605	48.57098	-0.26613522	2.572611	19.329239	-14.087536	-91.486984	2.764124	2.764124	1469.073891878128
13	572.3485	18.695263	600.28687	548.312	576.5666	50.06494	699.6469	523.166	1000.0	1000.0	51999	88.36185	12.704126	138.63496	48.916805	88.36188	12.702453	138.00273	49.462887	-0.37142903	2.601626	20.204376	-15.761317	-89.51081	2.6269634	2.6269634	1599.9637696743011
14	594.9202	16.853642	618.31445	570.83777	521.57776	80.534515	595.701	319.02542	1000.0	1000.0	55999	87.35278	12.605956	133.822	49.252163	87.35286	12.604187	131.52563	49.57365	-0.42809507	2.6475234	19.997742	-14.878105	-88.48613	2.4446118	2.4446118	1732.3312089443207
15	592.0548	22.737925	630.69977	572.1017	-552.32806	806.8199	709.854	-1155.0671	1000.0	1000.0	59999	86.91936	12.439172	130.84709	47.32447	86.91943	12.438204	129.67807	48.43903	-0.61019707	2.6117146	18.669292	-18.124317	-87.99475	2.2614832	2.2614832	1866.586466550827
16	619.2471	33.636574	676.44446	591.3409	617.11194	43.215305	702.65265	577.14734	1000.0	1000.0	63999	87.15304	12.229424	125.67055	48.532833	87.15294	12.228045	124.07095	47.361786	-0.6893041	2.628202	20.263542	-14.045539	-88.19736	2.2220445	2.2220445	2000.0630083084106
17	635.7096	28.892582	673.98663	596.6394	611.2893	38.378033	634.861	522.1031	1000.0	1000.0	67999	87.49675	12.116167	122.33972	47.368526	87.49684	12.114978	121.98018	46.24371	-0.8363014	2.6177545	17.329308	-13.090046	-88.497185	2.0698702	2.0698702	2134.9188601970673
18	634.94305	24.106056	676.66	619.627	672.6652	61.818176	776.6927	548.92914	1000.0	1000.0	71999	88.22193	12.099317	122.357925	48.94024	88.22198	12.09841	121.582146	47.827366	-0.88350374	2.6077135	20.944084	-16.052814	-89.21498	1.9633378	1.9633378	2272.477814435959
19	681.0582	25.832436	723.1672	654.3287	-950.3674	363.38895	-155.50212	-1223.9347	1000.0	1000.0	75999	89.13192	11.870417	124.76234	45.556553	89.13191	11.8701515	121.92958	46.267067	-1.0038006	2.58602	18.285774	-15.029397	-90.083626	1.8727845	1.8727845	2415.0863955020905
20	665.0476	16.533337	679.5316	636.9672	540.6418	4.7944317	549.56683	534.6888	1000.0	1000.0	79999	89.98394	12.232817	120.812096	39.97183	89.98392	12.232188	120.31412	40.13248	-1.0968868	2.5720544	20.216185	-13.359243	-90.91681	1.8089874	1.8089874	2555.674211740494
21	665.8689	31.309496	695.659	613.26306	-1248.1609	9.190644	-1230.7805	-1266.8182	1000.0	1000.0	83999	91.3603	12.212059	120.14673	32.373856	91.36034	12.211152	121.51472	34.490524	-1.173004	2.5693429	20.94016	-13.578535	-92.27572	1.7834178	1.7834178	2696.6978743076324
22	684.60175	16.682589	702.6381	657.4855	596.967	41.59438	641.9838	538.9017	1000.0	1000.0	87999	92.6576	12.529907	121.31839	27.942333	92.65762	12.528965	120.96763	29.431215	-1.2533534	2.561517	18.341122	-15.328888	-93.56564	1.772785	1.772785	2837.0059781074524
23	686.0425	8.582213	696.07654	674.53076	271.0184	676.33594	989.27893	-1043.0751	1000.0	1000.0	91999	94.23833	12.530875	121.73116	28.718437	94.23832	12.530466	122.56848	29.64641	-1.3100458	2.596737	18.196358	-15.72629	-95.13906	1.6589602	1.6589602	2977.9081692695618
24	692.93207	7.3034997	703.22766	685.6467	543.3361	47.047215	658.43475	516.65326	1000.0	1000.0	95999	95.5694	12.961302	123.55056	27.617193	95.56932	12.960804	124.16132	30.16646	-1.4098439	2.5782259	15.534403	-13.688681	-96.43738	1.6016103	1.6016103	3119.128734111786
25	671.4655	6.0549617	678.86865	662.16595	696.46875	29.448029	725.01917	638.0204	1000.0	1000.0	99999	96.82621	13.391132	127.384995	23.765274	96.8261	13.390517	126.30702	23.857851	-1.4361879	2.577509	15.059944	-14.582379	-97.70478	1.6078552	1.6078552	3260.682067155838
26	697.13293	5.52691	705.4471	689.9409	629.56805	61.777782	716.0389	529.7486	1000.0	1000.0	103999	98.36571	13.34457	127.631386	24.101906	98.3657	13.343804	127.6328	22.756939	-1.5167243	2.5521297	19.490198	-12.972037	-99.22731	1.5348991	1.5348991	3402.2699825763702
27	684.88245	10.440736	694.32367	668.15796	607.96814	30.414265	627.2237	517.92346	1000.0	1000.0	107999	99.67909	13.768612	129.22284	25.588959	99.67917	13.767607	129.20993	26.826878	-1.574763	2.55408	23.941875	-13.361426	-100.526634	1.4937046	1.4937046	3544.0779814720154
28	685.9353	16.08654	705.86884	661.7206	568.7939	45.440334	616.7292	511.14166	1000.0	1000.0	111999	100.8418	14.01175	131.1023	25.050674	100.84172	14.011134	131.16383	24.67637	-1.598639	2.5625222	28.959728	-12.547599	-101.69364	1.4470772	1.4470772	3685.797609090805
29	687.08746	3.620875	689.8806	680.938	669.4534	39.48037	713.3388	617.7225	1000.0	1000.0	115999	102.35903	13.789888	131.94797	28.446022	102.35898	13.788898	132.31917	27.585236	-1.6592891	2.5526533	19.322138	-14.398794	-103.19502	1.4312245	1.4312245	3827.504534959793
30	683.3014	6.701118	690.76715	675.19934	593.57245	44.29981	628.81165	518.99146	1000.0	1000.0	119999	103.20162	14.372257	132.50597	27.004421	103.20155	14.371931	132.6634	27.063475	-1.7337182	2.5187378	22.964348	-15.463715	-104.00896	1.3871691	1.3871691	3968.8705592155457
