Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	0.004980293	0.00046577805	0.008549788	0.0025031446	-0.0049805287	3.2715223e-05	2282.1346230506897
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	0.004626824	0.00045771475	0.008134574	0.002003136	-0.0046273093	2.7701752e-05	2365.2252295017242
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	0.004223419	0.0003917839	0.007859158	0.001495926	-0.0042236825	1.7649636e-05	2448.398376226425
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	0.0038519148	0.00037905626	0.007680028	0.0014599076	-0.00385227	1.76236e-05	2531.8081982135773
36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	0.0035888662	0.00051496015	0.008081524	0.0005027422	-0.003588836	4.2780437e-05	2615.173802137375
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	0.0035956854	0.00043683196	0.006976443	0.0013372533	-0.0035959324	2.7691982e-05	2698.4592773914337
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	0.0034577788	0.00041882863	0.006944941	0.0010748703	-0.0034580075	2.5190384e-05	2781.829784154892
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	0.0031334457	0.00032668276	0.007271817	0.00032725316	-0.0031335307	1.010461e-05	2865.22163438797
40	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	0.0029147244	0.00042563895	0.0069380393	0.00031560007	-0.0029148292	2.2684771e-05	2949.114156961441
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	0.0029229587	0.00045762278	0.0066420278	0.00031333414	-0.0029232707	3.0206917e-05	3032.8745534420013
