Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
1.0,0.0,0.0,26.79547643661499,11.368790292739869,11.367283582687378,11.368036937713622,238.0058894922621,15.427439498901368
2.0,0.0,0.0,26.9070143699646,19.74675178527832,19.740081787109375,19.743416786193848,51.317130342206156,7.163597583770752
3.0,0.04660326739534949,0.05,26.626663494110108,25.00242567062378,25.06722183227539,25.034823751449586,2.533953766313516,1.5918397426605218
4.0,0.5388907228099471,1.6,25.132111072540283,28.18457660675049,28.207761383056642,28.196168994903566,9.388450951597196,3.0640579223632827
5.0,0.7581455622012377,1.1,25.197208309173583,30.618875789642335,30.650897789001466,30.6348867893219,29.568347253468115,5.437678480148318
6.0,3.3578199913280735,38.6,20.217583894729614,33.123575401306155,33.12057666778564,33.1220760345459,166.52591738658026,12.904492139816284
7.0,10.65445108643516,175.85,28.792209434509278,35.07173309326172,35.05811023712158,35.06492166519165,39.34691872895219,6.2727122306823695
8.0,7.777457304324666,98.35,25.34262342453003,38.16069221496582,38.278816604614256,38.21975440979004,165.82050241154352,12.877130985260013
9.0,8.831357249398694,77.35,27.033000946044922,39.67706146240234,39.6086540222168,39.64285774230957,159.0084884223018,12.609856796264651
10.0,17.157566500117703,147.2,32.63313462734222,41.59371128082275,41.5506534576416,41.57218236923218,79.90657453178795,8.939047741889958
11.0,25.88383965638375,309.45,34.05461587905884,44.182870101928714,44.06849308013916,44.12568159103394,101.42636457492057,10.071065711975102
12.0,30.929498457964506,358.45,40.73081893920899,46.65416564941406,46.59761543273926,46.62589054107666,34.75186919114666,5.89507160186767
13.0,29.129883888022437,368.25,38.52531795501709,48.2691614151001,48.34902629852295,48.30909385681152,95.72227089653352,9.783775901794435
14.0,32.07556709142251,269.95,38.5883216381073,51.3113826751709,51.19527034759521,51.25332651138306,160.40234844009862,12.665004873275755
15.0,34.48607350236889,336.45,42.02277250289917,53.630117416381836,53.493995094299315,53.56205625534058,133.15506951935822,11.539283752441406
16.0,30.745471223172437,349.9,41.708747673034665,53.388828086853025,53.148077964782715,53.26845302581787,133.62678784316466,11.559705352783205
17.0,35.44791206642225,410.3,42.247119426727295,55.321647834777835,55.18118190765381,55.25141487121582,169.11170000754504,13.004295444488527
18.0,36.49607710256724,420.8,44.008205318450926,55.22249908447266,55.29853420257568,55.26051664352417,126.61451015637158,11.252311325073244
19.0,40.378812237909116,468.05,44.63059368133545,56.77951602935791,56.4505916595459,56.61505384445191,143.6272854013254,11.98446016311646
20.0,36.251616351473785,387.0,42.98043622970581,57.27167453765869,57.204334831237794,57.23800468444824,203.27825824166652,14.257568454742433
21.0,41.83613334484351,482.65,46.729055881500244,57.75356750488281,57.684610557556155,57.71908903121948,120.78082863192776,10.990033149719238
22.0,36.16232149727288,408.35,42.78053321838379,58.414563751220705,58.309814643859866,58.36218919754028,242.78800305278332,15.581655979156494
23.0,42.42268307958669,486.3,46.875278854370116,58.60716228485107,58.65611457824707,58.63163843154907,138.21199050792734,11.756359577178955
24.0,43.92458572229247,485.0,49.09058170318603,58.99779376983643,59.16063804626465,59.079215908050536,99.77281327858913,9.988634204864503
25.0,43.21279471256654,499.85,49.019021129608156,59.37652149200439,59.32083530426026,59.34867839813232,106.70181928517412,10.329657268524166
26.0,41.427918842263836,465.85,48.82659826278687,59.11044864654541,59.287264823913574,59.19885673522949,107.5837458191578,10.372258472442624
