Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
25	151.29431	12.442617	164.07219	136.68951	187.98833	124.64183	559.83075	133.15825	1000.0	1000.0	99999	20.890184	8.46638	53.00978	9.183895	20.89016	8.466243	55.770187	9.610271	-21.036772	0.11660028	0.11660028	2205.598352432251
26	155.16113	11.880022	162.7945	134.64507	227.06995	151.8318	531.2472	135.63264	1000.0	1000.0	103999	20.937248	8.355235	54.5262	9.210281	20.937244	8.355227	55.52481	9.99736	-21.028925	0.10572028	0.10572028	2303.5532047748566
27	390.14453	151.88742	551.71094	160.1527	303.7124	141.59653	521.95776	163.57906	1000.0	1000.0	107999	21.336445	8.742651	55.84662	9.157727	21.336395	8.742546	56.731186	9.826835	-21.574938	0.13745654	0.13745654	2397.107969045639
28	252.78473	105.065895	372.43442	133.86172	144.32066	18.19081	184.48587	130.56651	1000.0	1000.0	111999	22.73433	9.879326	54.98694	9.122395	22.734253	9.87929	55.049286	9.4725	-22.982477	0.17650223	0.17650223	2492.1318979263306
29	142.98784	13.984476	167.10683	132.85501	225.60564	152.75139	534.15546	134.4451	1000.0	1000.0	115999	23.377052	10.149606	56.50035	9.7117605	23.377115	10.149456	57.23176	10.06053	-23.492418	0.12911971	0.12911971	2590.7406260967255
30	176.30482	43.969826	249.31853	132.70802	254.88919	40.948177	330.0959	167.31912	1000.0	1000.0	119999	23.332657	9.852794	55.87886	9.667439	23.332676	9.852606	55.577686	10.420092	-23.390364	0.102520876	0.102520876	2689.992867708206
31	342.07642	118.49004	546.60364	258.61664	335.71234	177.51637	548.32745	163.42201	1000.0	1000.0	123999	23.690836	9.850946	57.46154	10.409382	23.69078	9.850819	56.36229	10.440809	-23.918331	0.13916785	0.13916785	2790.040586709976
32	280.82895	82.927155	373.03592	163.84926	438.3723	119.947655	558.0838	183.33577	1000.0	1000.0	127999	24.435993	10.161077	57.64915	10.528016	24.436062	10.161067	56.83635	10.5713005	-24.604664	0.15565555	0.15565555	2885.7316830158234
33	351.07053	187.45294	572.0606	164.78188	330.1752	329.45215	993.4858	159.53961	1000.0	1000.0	131999	25.394962	10.939304	57.71183	10.7742815	25.39493	10.93911	56.98037	10.481002	-25.669363	0.18313137	0.18313137	2982.545965909958
34	443.02457	164.22421	596.1437	165.97949	347.71936	335.97635	985.73785	134.08353	1000.0	1000.0	135999	26.36911	11.516029	56.87693	9.949509	26.36911	11.515945	56.930958	10.360166	-26.549393	0.15194248	0.15194248	3083.4040863513947
35	479.6588	280.4494	944.75714	218.26575	238.46994	251.91252	990.01917	133.03459	1000.0	1000.0	139999	26.739012	11.807951	58.132664	9.837639	26.739002	11.80786	57.70281	10.5091915	-26.938238	0.14992392	0.14992392	3185.3923921585083
36	415.94128	246.9339	763.2468	162.26927	586.6509	397.64053	997.2579	159.66235	1000.0	1000.0	143999	27.020863	12.177548	57.13857	9.819395	27.021002	12.177457	57.186985	9.88641	-27.214426	0.16716857	0.16716857	3287.1976141929626
37	369.30917	171.04445	593.55695	199.80937	231.28369	252.98428	988.9948	129.53696	1000.0	1000.0	147999	27.619667	12.837055	58.76024	10.217341	27.619715	12.836904	58.749226	10.796299	-27.853378	0.19541317	0.19541317	3389.523106813431
38	252.38391	155.14288	521.0905	161.77344	178.8563	10.061525	196.73329	164.2224	1000.0	1000.0	151999	27.852322	13.224969	60.856075	9.997537	27.852278	13.224936	61.128925	10.513514	-28.041548	0.2017305	0.2017305	3485.4324355125427
39	436.9111	270.5514	753.9417	164.46574	640.7938	305.7483	876.9666	162.30603	1000.0	1000.0	155999	27.647423	13.225167	67.42626	9.545562	27.6474	13.225223	61.46509	10.24239	-27.91491	0.24029745	0.24029745	3585.186785697937
40	599.1372	251.73058	779.3023	164.99075	144.1326	13.105438	165.6248	130.52596	1000.0	1000.0	159999	28.502428	14.051538	61.24407	10.483463	28.502455	14.051385	62.524822	10.157208	-28.665077	0.2853401	0.2853401	3687.1059041023254
41	565.14667	412.3407	991.67633	138.11014	729.11664	371.63876	995.001	156.4034	1000.0	1000.0	163999	29.121857	14.524677	62.718655	9.903731	29.12188	14.524526	63.469753	9.6719265	-29.388304	0.2972661	0.2972661	3789.651602745056
42	945.501	16.181068	968.95917	927.8586	460.5329	353.85583	967.48157	162.76111	1000.0	1000.0	167999	30.900015	15.778607	65.588776	10.617859	30.90007	15.77848	65.9254	9.343209	-31.155941	0.34858215	0.34858215	3892.261207342148
43	433.6164	301.60248	909.4728	161.23145	814.9083	325.36102	997.75824	163.04723	1000.0	1000.0	171999	32.454414	16.954311	66.42831	10.609514	32.454475	16.95408	67.3985	10.065184	-32.756145	0.34880272	0.34880272	3991.4898552894592
44	968.5343	10.487517	978.5371	951.2746	581.9556	404.7452	996.75586	163.74883	1000.0	1000.0	175999	33.340153	17.909922	69.9278	9.383953	33.340145	17.909834	70.361984	8.500439	-33.544144	0.33259788	0.33259788	4090.011679172516
45	966.04254	21.109152	996.55096	937.6773	483.40665	390.72958	995.6739	160.60838	1000.0	1000.0	179999	34.674694	18.992624	77.71274	7.0398464	34.67473	18.992336	72.86065	10.4429655	-34.93258	0.3444203	0.3444203	4192.494735956192
