Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	0.0	0.0	0.0	0.0	7.4	17.211624	58.0	0.0	1000.0	1000.0	3999	2.4747918	1.2060113	5.092753	-0.26455528	2.4754584	1.206317	5.070474	-0.17860559	-1.3638964	0.1915451	0.9878578	-6.0215096	-2.7346332	0.008349755	0.49628255	0.50463235	163.758239030838
2	20.75	20.753012	42.0	0.0	8.6	10.928861	30.0	0.0	1000.0	1000.0	7999	7.0090218	1.4582314	12.389783	4.182192	7.0107045	1.4607849	12.436961	4.1755037	-1.3544208	0.23833065	0.83561707	-5.8866777	-7.262296	0.021361304	0.6905489	0.7119103	379.1553816795349
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	11.914257	1.7916691	29.898844	8.692035	11.913106	1.7920221	29.853546	8.780869	-1.3133287	0.3730243	2.2137382	-6.6474977	-12.160986	0.034163408	0.94018215	0.9743455	597.0300097465515
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	16.879745	4.093066	52.61254	12.698726	16.873402	4.0926504	53.32952	12.747734	-1.1118029	0.76944345	3.4267178	-11.327557	-17.182318	0.05279242	1.1589148	1.2117071	816.6614434719086
5	5.5	6.538348	16.0	0.0	17.0	35.045685	104.0	0.0	1000.0	1000.0	19999	26.518322	12.155597	77.44005	16.019995	26.515022	12.157198	77.12683	16.08496	-0.8099282	1.088793	3.8712628	-8.791349	-26.901985	0.11232935	1.701225	1.8135544	1037.2801141738892
6	0.0	0.0	0.0	0.0	14.2	42.600002	142.0	0.0	1000.0	1000.0	23999	34.929314	15.290253	107.5755	19.062557	34.918507	15.284499	104.69508	19.171558	-0.84463024	1.0299906	3.348506	-8.780255	-35.25873	0.14558554	1.9277424	2.0733278	1257.0147287845612
7	38.5	66.68395	154.0	0.0	0.7	2.1000001	7.0	0.0	1000.0	1000.0	27999	41.10226	15.138358	103.10426	21.736542	41.09719	15.135987	103.49927	21.846785	-0.9277158	0.9419905	3.0516543	-8.40993	-41.385654	0.13986136	1.9530395	2.092901	1477.9036631584167
8	14.0	24.24871	56.0	0.0	7.4	14.374979	39.0	0.0	1000.0	1000.0	31999	43.17346	11.622335	93.48142	23.979263	43.171345	11.619555	92.9755	23.924477	-1.0568908	0.79413915	2.646162	-7.7127476	-43.423576	0.13481216	1.9341226	2.0689347	1698.0638427734375
9	59.0	102.190994	236.0	0.0	1.4	2.8354893	8.0	0.0	1000.0	1000.0	35999	43.879406	9.254629	87.1297	26.258068	43.876186	9.251797	85.707146	26.48487	-1.168296	0.64991635	2.0092351	-7.0129776	-44.10029	0.12763469	1.8763975	2.0040321	1918.8623595237732
10	2.5	4.3301272	10.0	0.0	6.4	17.292772	58.0	0.0	1000.0	1000.0	39999	43.89249	7.568319	79.34082	28.573256	43.89131	7.565819	79.10197	28.30878	-1.2408273	0.52978253	1.3068314	-7.6608653	-44.098446	0.12473727	1.8567945	1.9815317	2140.3280205726624
