Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossRetro	LossFinal	Time
1	-1292.2738	122.190125	-1132.3358	-1467.8641	-1301.261	22.377676	-1263.7079	-1332.0217	1000.0	1000.0	3999	2.7922125	8.8424635	65.14215	-10.686963	2.7915118	8.840564	65.361275	-10.6733055	-0.551268	3.6883903	20.45278	-12.703136	-4.871395	3.0654883	8.352335	11.417823	110.2924747467041
2	-1253.9701	128.21486	-1057.271	-1392.5092	-1548.1979	15.742091	-1519.0465	-1560.7395	1000.0	1000.0	7999	67.63772	44.56586	243.69678	-10.47039	67.6372	44.559338	241.99837	-10.145636	6.218977	4.3575435	49.62329	-14.365434	-76.11179	20.644972	23.87345	44.51842	246.96389031410217
3	-1385.4617	65.32569	-1300.689	-1468.7811	-1334.0391	14.195712	-1322.0278	-1373.0607	1000.0	1000.0	11999	200.62308	41.393066	401.0877	102.00984	200.62512	41.390743	405.7116	100.47085	7.228361	5.1143284	55.126232	-13.186887	-209.97475	35.133327	31.218796	66.35213	387.5078501701355
4	-1478.2583	79.9232	-1349.3995	-1561.4053	-1518.6641	189.47328	-1098.4689	-1683.7703	1000.0	1000.0	15999	319.27615	24.142456	404.11182	216.21758	319.27878	24.132803	404.8985	215.0972	4.862539	4.300106	34.59353	-13.017157	-324.95294	24.459675	26.232214	50.69189	529.8376495838165
5	-1371.4835	67.56635	-1283.8529	-1442.3912	-1555.0701	52.021164	-1475.14	-1611.4806	1000.0	1000.0	19999	318.7768	11.040952	371.7569	286.73557	318.77353	11.037139	372.3498	286.19388	1.8387161	3.526271	34.915665	-14.487738	-321.29376	10.805606	17.640902	28.446508	674.4600248336792
6	-856.10016	184.06824	-579.3708	-1092.2218	-930.4538	551.71484	-110.97061	-1449.7955	1000.0	1000.0	23999	283.81195	16.98617	360.67093	241.99751	283.8132	16.98484	361.5495	241.49469	-0.37242386	2.6180072	18.99186	-14.921959	-285.07693	7.0020027	14.12453	21.126534	816.7212007045746
7	-464.52603	185.78555	-252.00038	-669.59705	-775.45447	656.5522	540.13824	-1225.6729	1000.0	1000.0	27999	243.42566	16.842836	318.8782	201.5614	243.42358	16.837599	321.63623	199.54337	-0.935521	2.2828767	15.533861	-14.731142	-244.4539	6.4122057	13.103218	19.515423	955.1089925765991
8	-31.244835	294.46396	319.19528	-482.23715	181.42776	438.787	692.8766	-468.67834	1000.0	1000.0	31999	211.27731	14.047609	272.04205	171.52217	211.27698	14.046837	272.07416	170.18921	-0.6478531	2.3340406	26.30107	-12.9013815	-212.4589	6.8571453	13.408194	20.265339	1091.0371141433716
9	392.68088	130.41061	587.0066	219.72003	441.0122	317.084	776.285	-478.84894	1000.0	1000.0	35999	187.20657	14.074168	245.12875	149.75322	187.2068	14.076813	244.30351	150.75856	-0.6524782	2.5470695	39.219887	-12.947038	-188.31343	6.4045815	12.89768	19.302261	1226.077043056488
10	622.6692	50.48437	661.7622	536.8614	139.96104	786.503	697.0754	-1074.1625	1000.0	1000.0	39999	170.45836	15.32158	224.48688	132.02882	170.45888	15.322604	225.51111	131.2844	-0.5435795	2.5745342	22.226124	-15.0381	-171.61774	5.619073	12.254574	17.873648	1360.7444849014282
11	654.7688	23.687614	679.0246	615.92786	605.145	13.679318	627.16626	581.0163	1000.0	1000.0	43999	159.0891	16.7123	212.24947	121.86753	159.09084	16.71128	211.0337	121.91683	-0.7625686	2.4469073	17.030094	-13.699779	-160.21696	4.8788924	11.362344	16.241238	1497.2124121189117
12	629.8698	34.12657	672.52	582.3488	594.8883	30.061518	620.9594	508.9929	1000.0	1000.0	47999	152.45012	17.004633	197.54144	114.59304	152.45403	17.002718	197.623	115.82692	-0.72511494	2.584205	16.576561	-14.853003	-153.63246	4.500659	10.834221	15.33488	1632.4580721855164
13	624.36957	45.307365	673.05597	575.6792	607.59784	29.330563	620.7323	520.1779	1000.0	1000.0	51999	148.33755	17.043268	188.74765	106.46291	148.34053	17.041763	188.5991	107.68814	-0.87378114	2.6127055	15.505807	-12.597683	-149.50539	4.1844044	10.382897	14.567303	1772.2162036895752
14	648.34174	13.181082	664.39417	630.8935	520.22253	39.329117	627.6137	490.92645	1000.0	1000.0	55999	145.34998	17.449993	182.06635	106.20206	145.35173	17.447561	182.59949	105.87441	-1.0606933	2.5782688	17.306595	-13.600685	-146.45172	3.9062877	9.934988	13.841275	1913.2293546199799
15	619.574	54.59961	657.0457	525.51074	49.91868	841.8175	623.7822	-1259.5521	1000.0	1000.0	59999	143.46397	17.659103	179.60916	100.88784	143.46674	17.65581	179.51239	99.1175	-1.2580591	2.4951818	20.482393	-14.105374	-144.49356	3.7058103	9.59926	13.305071	2064.5252726078033
16	682.414	24.924524	708.14453	649.0579	529.6978	44.27439	597.2334	491.22092	1000.0	1000.0	63999	141.79572	18.660671	179.60786	96.66499	141.79495	18.657866	178.7018	97.34188	-1.236965	2.5691054	14.660795	-13.609552	-142.83179	3.575952	9.372892	12.948844	2205.883157014847
17	665.5384	28.395052	684.7902	616.61646	622.28186	5.912652	635.95605	612.6831	1000.0	1000.0	67999	141.41316	18.774652	177.56808	97.382286	141.41164	18.771254	177.37155	97.24118	-1.2929767	2.6104808	16.692457	-15.160799	-142.43935	3.3537202	9.032487	12.386207	2349.4227588176727
18	679.18933	15.31915	702.92944	660.24615	591.1937	45.844273	636.46936	510.31586	1000.0	1000.0	71999	141.4371	18.490906	177.89145	96.73023	141.437	18.48629	177.57794	96.15221	-1.4164838	2.596425	19.9562	-14.317769	-142.43556	3.2369983	8.806738	12.043736	2501.3987390995026
19	688.4364	20.073874	720.0127	670.3699	590.3856	38.979584	633.1043	539.64655	1000.0	1000.0	75999	141.8267	17.973038	178.41345	95.94151	141.82751	17.969086	177.13885	97.08301	-1.4586438	2.6924326	15.382205	-13.163092	-142.82245	3.108437	8.542951	11.651386	2660.0678057670593
20	691.0214	16.818363	713.2945	672.5246	647.46216	9.202018	659.0513	626.0224	1000.0	1000.0	79999	142.6113	17.260126	177.54465	96.58389	142.61406	17.256792	176.66284	98.08666	-1.5814353	2.6219163	19.475891	-12.032786	-143.58133	2.9207504	8.302272	11.2230215	2818.442279815674
21	667.5423	14.872062	682.9084	646.19464	634.7252	3.8616223	639.4195	629.49664	1000.0	1000.0	83999	142.84755	16.960257	174.76474	96.55415	142.85019	16.958399	175.34433	96.72171	-1.7187469	2.5316076	19.791222	-14.196309	-143.76923	2.754153	7.991963	10.746117	2979.7962958812714
22	694.937	4.7711368	699.91034	689.57544	621.76276	26.368874	640.61975	547.2694	1000.0	1000.0	87999	143.1464	16.722641	174.58711	95.351654	143.14673	16.719702	175.86069	95.85311	-1.7139689	2.606693	16.111917	-13.507168	-144.08893	2.6535616	7.8576674	10.511229	3141.5591237545013
23	688.8163	13.88883	703.80994	666.5699	659.85046	39.47637	725.52716	627.9409	1000.0	1000.0	91999	143.53053	16.461967	175.81981	96.32504	143.5304	16.460533	175.65027	97.24734	-1.8397133	2.5179036	15.853378	-12.880932	-144.41147	2.5624344	7.6538835	10.216317	3308.738189458847
