Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
33	775.9414	23.835215	814.3286	749.775	771.55023	22.4194	796.8652	732.4747	1000.0	1000.0	131999	79.717026	4.8157954	91.182365	62.825752	-80.051704	0.47402343	2511.217858314514
34	768.5154	24.037224	798.54663	737.77155	762.16626	29.603138	791.0639	705.88715	1000.0	1000.0	135999	80.31232	4.7125607	92.04878	61.98481	-80.64725	0.45801196	2588.6721742153168
35	763.5927	22.807837	800.94885	739.58856	757.2103	28.340807	795.3871	692.2938	1000.0	1000.0	139999	80.87155	4.6776767	91.93845	60.884747	-81.19989	0.45464343	2666.11678814888
36	748.176	19.497898	775.28796	723.85266	786.9618	18.53357	814.9355	768.0075	1000.0	1000.0	143999	81.29978	4.624893	92.45061	64.84526	-81.62257	0.45966053	2746.155134677887
37	762.51355	11.357095	774.5305	745.8869	771.8067	24.749588	806.3419	736.6733	1000.0	1000.0	147999	81.77531	4.697473	92.69422	64.247894	-82.10321	0.46039802	2832.4990136623383
38	765.4692	23.534517	792.5316	730.74536	769.1627	22.952692	817.61194	743.08075	1000.0	1000.0	151999	82.37377	4.826191	93.69955	64.11287	-82.69798	0.46961445	2908.735517024994
39	761.78235	32.084953	783.9889	706.3839	795.05316	14.3412895	820.04095	765.5226	1000.0	1000.0	155999	83.075264	4.912886	95.20068	63.85904	-83.41564	0.5174771	2989.4992728233337
40	795.6056	19.003963	813.43945	764.1076	788.68854	23.41595	828.3176	747.34534	1000.0	1000.0	159999	83.69656	4.7134953	94.452255	63.895638	-84.01931	0.47402188	3071.2856616973877
41	741.1902	20.002169	760.68964	714.0872	759.159	27.15282	792.03564	703.11975	1000.0	1000.0	163999	84.10257	4.635666	94.29286	65.0123	-84.416916	0.46796852	3152.555070400238
42	769.887	33.576088	802.404	723.3644	773.5506	35.496502	827.7219	715.4608	1000.0	1000.0	167999	84.29948	4.7349133	95.06708	66.2728	-84.599846	0.4492671	3231.6969578266144
43	786.10156	37.272175	844.3874	746.19183	814.29645	35.94521	857.48035	749.02185	1000.0	1000.0	171999	84.56644	4.8369384	95.07039	64.29361	-84.87981	0.47448075	3312.238617181778
44	803.4794	6.743263	814.1842	795.8304	830.3041	29.20974	864.7988	778.581	1000.0	1000.0	175999	85.01009	4.873836	95.60725	63.844208	-85.321	0.47333783	3400.7563395500183
45	930.1157	22.684978	966.6821	907.0192	937.4084	36.854053	995.0379	883.0862	1000.0	1000.0	179999	85.54734	5.134815	96.75029	63.64874	-85.86747	0.4954487	3488.730707168579
46	955.8489	37.10081	998.6127	914.11615	949.14856	80.95519	997.9011	713.8323	1000.0	1000.0	183999	86.542	5.3372226	99.65991	64.56813	-86.891014	0.5314275	3571.2543535232544
47	928.6411	23.457024	956.13806	895.2354	895.5672	30.697796	943.8861	829.8136	1000.0	1000.0	187999	88.14928	5.8751388	99.81772	62.90998	-88.53954	0.6101585	3649.905616760254
48	941.0785	22.496458	968.1061	912.7576	907.7666	16.602385	937.8426	875.0858	1000.0	1000.0	191999	90.04528	5.880237	102.20938	65.28175	-90.433876	0.6234131	3730.6825861930847
49	981.282	20.691029	997.52484	946.40393	965.34973	19.31265	990.0238	926.81006	1000.0	1000.0	195999	91.76651	6.0137115	102.973335	66.88767	-92.15808	0.6232333	3811.4875676631927
