Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	LossFinal	Time
1	-1312.0809	75.32531	-1187.485	-1383.21	-1555.4114	48.059315	-1446.145	-1607.3387	1000.0	1000.0	3999	-0.15780383	6.7044473	67.13712	-17.2195	-0.15712991	6.7084556	66.79433	-17.958172	-0.8242312	3.3375785	21.835121	-12.768425	-1.9011732	2.197884	2.197884	105.03121995925903
2	-1153.3237	113.88373	-1018.36475	-1333.7881	-1482.4358	131.19272	-1222.9885	-1599.8405	1000.0	1000.0	7999	90.51035	63.44286	342.42215	-15.141694	90.51186	63.44417	337.6239	-15.560232	8.7683115	5.0794897	51.628746	-11.328026	-102.6063	36.88996	36.88996	231.57996940612793
3	-1187.563	93.292496	-1038.8218	-1281.642	-1374.9088	88.362724	-1124.8984	-1470.7943	1000.0	1000.0	11999	260.9094	35.210686	400.69937	145.39687	260.90973	35.217453	392.1449	146.26953	8.116147	5.693974	71.289246	-15.780073	-269.71143	45.044147	45.044147	363.70946431159973
4	-1477.883	54.312813	-1403.9877	-1534.8838	-1612.141	34.54183	-1526.0988	-1646.4902	1000.0	1000.0	15999	290.8456	28.69655	420.7173	217.6013	290.84637	28.699888	421.7181	218.97588	3.7922988	3.9413645	33.886864	-16.407608	-294.08038	21.240786	21.240786	495.76825284957886
5	-1418.0033	160.7939	-1191.723	-1606.4395	-1275.3372	86.30135	-1174.3317	-1469.6023	1000.0	1000.0	19999	270.16537	25.610514	379.46228	198.58595	270.16556	25.609741	378.88635	198.9686	1.679858	3.3056343	29.523094	-13.754663	-272.00882	10.537966	10.537966	628.9058797359467
6	-962.05035	127.35272	-782.4065	-1104.9176	-938.3627	618.50574	575.27606	-1359.9015	1000.0	1000.0	23999	229.21588	18.67773	287.16888	171.48322	229.21582	18.678589	288.0635	172.39684	0.3530252	2.9746165	26.654263	-15.106596	-230.57106	6.1810966	6.1810966	760.4225692749023
7	-631.3876	200.94759	-411.1282	-950.77905	-582.5947	765.2502	583.04083	-1237.8895	1000.0	1000.0	27999	184.21712	15.537396	234.54442	135.66408	184.2171	15.537934	236.25612	135.69179	-1.1811846	2.4381797	18.854828	-13.633742	-185.06169	4.39717	4.39717	893.659122467041
8	205.90492	313.2945	548.3937	-136.42047	647.1212	30.876125	686.58887	581.5185	1000.0	1000.0	31999	148.07004	12.244287	210.07071	106.81323	148.06995	12.245662	209.58968	105.82351	-0.7020443	2.376319	19.463123	-14.277656	-149.20715	4.4939747	4.4939747	1025.7090737819672
9	535.0215	62.31315	602.04114	456.41858	557.7811	30.585407	588.0053	490.8401	1000.0	1000.0	35999	127.57609	11.531524	181.73116	85.55352	127.57596	11.532743	180.7434	86.76379	-0.1989071	2.4628503	24.650072	-12.928518	-128.8468	3.9814851	3.9814851	1157.0994572639465
10	452.7686	207.37082	625.2422	98.65804	538.74744	31.938576	627.7743	514.92206	1000.0	1000.0	39999	112.77433	12.022414	161.81021	72.31514	112.77413	12.023554	161.58624	72.28312	-0.38607103	2.371219	17.054695	-13.386202	-113.975716	3.6396885	3.6396885	1289.499083518982
11	610.1216	5.686455	619.4303	604.5353	620.45764	63.230568	756.9278	519.1586	1000.0	1000.0	43999	102.22295	13.253806	154.9109	58.090923	102.2229	13.254811	154.60446	59.4237	-0.2739425	2.5361235	21.909748	-12.520303	-103.444084	3.4298623	3.4298623	1416.7118511199951
