Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
1.0,0.0,0.0,26.952976322174074,9.28185157775879,9.297738170623779,9.289794874191283,311.9879788643634,17.66318144798279
2.0,0.0,0.0,26.99515724182129,15.92177619934082,15.910881042480469,15.916328620910644,122.74044361150887,11.078828620910645
3.0,0.0,0.0,26.963124752044678,19.964478778839112,19.949884128570556,19.957181453704834,49.08324149955297,7.005943298339844
4.0,0.0,0.0,27.11349287033081,22.46328773498535,22.482199096679686,22.472743415832518,21.536555499426186,4.640749454498291
5.0,0.0,0.0,27.12886438369751,24.078759384155273,24.07965793609619,24.079208660125733,9.300400032314105,3.049655723571778
6.0,0.0,0.0,27.084571743011473,25.0875186920166,25.0799599647522,25.0837393283844,4.003330351422403,2.000832414627073
7.0,0.0,0.0,27.08017568588257,25.692159843444824,25.689581680297852,25.690870761871338,1.9301681718818529,1.3893049240112312
8.0,0.0,0.0,26.980088996887208,26.05784692764282,26.079384136199952,26.068615531921388,0.8307838773367971,0.9114734649658196
9.0,0.0,0.0,27.087483215332032,26.360193538665772,26.37885684967041,26.36952519416809,0.5154637201536422,0.7179580211639411
10.0,0.0,0.0,27.011776638031005,26.546633148193358,26.55395269393921,26.550292921066283,0.21296722102357535,0.4614837169647217
11.0,0.0,0.0,27.095456409454346,26.735149669647218,26.73775625228882,26.736452960968016,0.1288834760250772,0.35900344848633026
12.0,0.0,0.0,27.13369197845459,26.81757879257202,26.802296829223632,26.80993781089783,0.10481676101037099,0.32375416755676056
13.0,0.0,0.0,27.086290645599366,26.844353199005127,26.858865165710448,26.851609182357787,0.055075389189208394,0.23468146324157857
14.0,0.0,0.0,26.99146213531494,26.934616470336913,26.929025650024414,26.931821060180663,0.0035570578431724305,0.05964107513427663
15.0,0.0,0.0,27.093943214416505,26.97056703567505,26.97376651763916,26.972166776657104,0.014829500793369225,0.12177643775940084
16.0,0.0,0.0,26.99716386795044,27.04990863800049,27.04072322845459,27.04531593322754,0.002318621390449857,0.04815206527709748
17.0,0.0,0.0,27.08597536087036,26.970434951782227,26.97898244857788,26.974708700180052,0.012380269781172204,0.11126666069030833
18.0,0.0,0.0,27.044911289215086,26.998613929748537,27.001914978027344,27.00026445388794,0.0019933399047293195,0.044646835327146306
19.0,0.0,0.0,27.00322380065918,27.01022081375122,27.009616088867187,27.009918451309204,4.481834732589134e-05,0.006694650650025835
20.0,0.0,0.0,27.08508243560791,27.030463027954102,27.04268789291382,27.03657546043396,0.0023529266405262206,0.048506975173950195
21.0,0.0,0.0,27.045508098602294,27.048731136322022,27.039754009246828,27.044242572784423,1.6015555956983007e-06,0.0012655258178710938
22.0,0.0,0.0,27.023163032531738,27.073191738128664,27.063361072540282,27.068276405334473,0.0020352164056385577,0.045113372802735086
23.0,0.0,0.0,27.05656805038452,27.042339324951172,27.04970254898071,27.04602093696594,0.00011124160146435635,0.010547113418578391
24.0,0.0,0.0,27.050195980072022,27.04206552505493,27.0370304107666,27.039547967910767,0.00011338016298623188,0.010648012161254883
25.0,0.0,0.0,27.048792362213135,27.07402982711792,27.05991334915161,27.066971588134766,0.0003304842551097212,0.01817922592163157
26.0,0.0,0.0,27.163536071777344,27.12434015274048,27.124362754821778,27.124351453781127,0.0015354342875094165,0.03918461799621653
27.0,0.0,0.0,27.0803955078125,27.09019536972046,27.082413768768312,27.086304569244383,3.491700700576284e-05,0.005909061431882634
28.0,0.0,0.0,27.095274257659913,27.057215404510497,27.05448226928711,27.055848836898804,0.001554363802190493,0.03942542076110911
29.0,0.0,0.0,27.118639278411866,27.094116973876954,27.108248233795166,27.101182603836058,0.0003047354872456543,0.017456674575807796
30.0,0.0,0.0,27.040698051452637,27.07589111328125,27.073973655700684,27.074932384490968,0.001171989558579347,0.03423433303833079
31.0,0.0,0.0,27.04919366836548,27.07619218826294,27.068178367614745,27.072185277938843,0.0005286141107739823,0.022991609573363547
32.0,0.0,0.0,27.089464950561524,27.077005863189697,27.068198013305665,27.07260193824768,0.0002843611842968849,0.016863012313844905
33.0,0.0,0.0,27.095829486846924,27.066514110565187,27.06191635131836,27.064215230941773,0.0009994611764363533,0.03161425590515066
34.0,0.0,0.0,27.09201536178589,27.0587064743042,27.061487770080568,27.06009712219238,0.0010187740187486264,0.0319182395935087
35.0,0.0,0.0,27.043629264831544,27.080434036254882,27.07845754623413,27.079445791244506,0.0012828235642903857,0.035816526412961736
36.0,0.0,0.0,27.104775142669677,27.105330085754396,27.103641510009766,27.10448579788208,8.372040610911044e-08,0.00028934478759623516
37.0,0.0,0.0,27.104036140441895,27.076259899139405,27.07722940444946,27.076744651794435,0.0007448253525944504,0.027291488647460227
38.0,0.0,0.0,27.097288417816163,27.108885192871092,27.11961975097656,27.114252471923827,0.0002877791317677479,0.016964054107663884
39.0,0.0,0.0,27.037265682220458,27.073908042907714,27.08170680999756,27.077807426452637,0.0016436330253874318,0.040541744232179155
40.0,0.0,0.0,27.081335163116456,27.087467670440674,27.0737060546875,27.080586862564086,5.599537166776896e-07,0.0007483005523702957
41.0,0.0,0.0,27.074426937103272,27.104705142974854,27.111143016815184,27.10792407989502,0.0011220585752108056,0.03349714279174876
42.0,0.0,0.0,27.020984363555907,27.08340177536011,27.076684284210206,27.080043029785156,0.0034879260567777237,0.05905866622924805
43.0,0.0,0.0,27.033250045776366,27.108806896209718,27.11082592010498,27.10981640815735,0.005862407848256097,0.07656636238098358
