Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	LossFinal	Time
24	22.25	38.53813	89.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	95999	0.057487793	0.18141371	7.2386165	-1.3146565	0.05748396	0.18089366	7.4199314	-1.6794024	-0.05773039	0.008075985	0.008075985	1912.7926335334778
25	0.0	0.0	0.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	99999	0.08397136	0.18870457	6.2396693	-1.5660512	0.08396936	0.188248	6.395308	-1.8260394	-0.084441215	0.008306469	0.008306469	2009.2861261367798
26	0.0	0.0	0.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	103999	0.10554779	0.21355626	6.9348345	-1.4849293	0.10554745	0.2134036	6.767355	-1.6382399	-0.10575861	0.008199527	0.008199527	2095.8849601745605
27	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	107999	0.11874811	0.21562739	7.0071983	-1.5067084	0.1187466	0.21549933	7.073865	-1.5834935	-0.11882764	0.0074697644	0.0074697644	2177.632001876831
28	30.0	51.961525	120.0	0.0	11.4	32.888294	110.0	0.0	1000.0	1000.0	111999	0.13066733	0.2385194	7.09039	-1.4642931	0.13067059	0.2382352	7.21986	-1.8406119	-0.13111158	0.008324066	0.008324066	2260.447964668274
29	0.0	0.0	0.0	0.0	0.4	0.91651505	3.0	0.0	1000.0	1000.0	115999	0.1469729	0.2530449	7.0639133	-1.4675235	0.14696576	0.2530489	7.190153	-1.661107	-0.1477924	0.009426694	0.009426694	2346.4597194194794
30	19.75	34.208004	79.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	0.16634695	0.26774344	7.608258	-1.1090465	0.16635181	0.26733762	7.496462	-1.3649505	-0.16656461	0.009748001	0.009748001	2432.833282470703
31	29.75	51.52851	119.0	0.0	13.7	41.1	137.0	0.0	1000.0	1000.0	123999	0.18604206	0.25481844	7.4180865	-1.1314895	0.18603756	0.2546473	8.308874	-1.1007404	-0.18582602	0.0113470815	0.0113470815	2518.9125974178314
32	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	127999	0.21027374	0.23954505	7.913292	-1.0865874	0.2102756	0.23936835	7.6706305	-1.170385	-0.21065469	0.011611531	0.011611531	2609.2680401802063
33	0.5	0.8660254	2.0	0.0	12.7	36.122158	121.0	0.0	1000.0	1000.0	131999	0.23509441	0.23121774	6.886165	-1.0025401	0.23509201	0.23122104	6.9441743	-1.06072	-0.23532909	0.011250057	0.011250057	2696.8697962760925
34	0.0	0.0	0.0	0.0	0.4	1.1999999	4.0	0.0	1000.0	1000.0	135999	0.2626814	0.2406201	7.523997	-0.9648051	0.2626804	0.24050258	7.4410887	-1.0560689	-0.26365408	0.011228687	0.011228687	2790.6974568367004
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	0.28479	0.25694302	8.284097	-0.8866445	0.28478768	0.25673366	8.38173	-0.883209	-0.28476757	0.010378844	0.010378844	2883.455538749695
36	27.75	48.06441	111.0	0.0	0.5	1.5	5.0	0.0	1000.0	1000.0	143999	0.30361348	0.25690022	8.553804	-0.85123944	0.30361596	0.2567302	8.400792	-0.8696748	-0.3041389	0.011510041	0.011510041	2979.189677476883
37	0.0	0.0	0.0	0.0	29.3	46.84453	117.0	0.0	1000.0	1000.0	147999	0.32370704	0.25182006	7.856694	-0.8649138	0.32370862	0.25179332	7.477022	-0.8775017	-0.3245609	0.011550686	0.011550686	3066.702105998993
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	0.33721218	0.24124005	6.8053737	-0.880112	0.33720875	0.24111527	6.857268	-1.0112405	-0.33864293	0.01096284	0.01096284	3152.7311787605286
39	0.0	0.0	0.0	0.0	22.4	44.90924	119.0	0.0	1000.0	1000.0	155999	0.34957206	0.24458246	8.114656	-1.0781556	0.34957314	0.24458812	8.478644	-1.0861245	-0.3490497	0.010793287	0.010793287	3243.2943942546844
40	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	0.35722777	0.24745451	7.892169	-1.1919923	0.35722697	0.24735464	8.067745	-1.1794106	-0.3569451	0.010360837	0.010360837	3333.6487708091736
41	0.0	0.0	0.0	0.0	5.4	16.199999	54.0	0.0	1000.0	1000.0	163999	0.3642543	0.24453513	5.959605	-1.3319937	0.3642553	0.24440117	6.4933505	-1.2198465	-0.3647579	0.010089904	0.010089904	3426.1840949058533
42	2.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	167999	0.37418723	0.25668997	7.054603	-1.3035722	0.3741847	0.2564996	7.259119	-1.2897601	-0.37441254	0.010571839	0.010571839	3518.62225484848
43	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	171999	0.37904593	0.27781177	8.278338	-1.5941703	0.37904823	0.27755207	8.65733	-1.4872146	-0.37964338	0.010560396	0.010560396	3606.229480266571
44	0.0	0.0	0.0	0.0	3.9	10.143471	34.0	0.0	1000.0	1000.0	175999	0.37947887	0.2770606	8.148899	-1.4366306	0.37947613	0.27686504	8.216086	-1.3762759	-0.380672	0.010462885	0.010462885	3693.253870487213
45	0.0	0.0	0.0	0.0	0.6	1.4966631	5.0	0.0	1000.0	1000.0	179999	0.38277882	0.28219515	7.8045893	-1.4782255	0.3827784	0.2818899	8.444555	-1.3903337	-0.3840188	0.0099522	0.0099522	3781.554477930069
